tipo_celular,module_size,PREPL_MM,PREPL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.402,95.0,140,7,5.0,3.72 (2.46-4.98),133,95.0,4.57 (4.13-5.02),1.85,3.66
T cells 18,282,0.205,66.0,241,3,1.24,4.22 (3.26-5.18),238,98.76,4.05 (3.80-4.31),2.09,4.37
astrocytes 5,228,0.229,73.0,266,24,9.02,2.96 (2.30-3.63),242,90.98,4.27 (4.06-4.48),6.16,4.86
oligodendrocyte progenitor cells 7,296,0.257,79.0,251,1,0.4,4.29 (NA-NA),250,99.6,4.06 (3.82-4.30),3.79,6.16
GABA neurons expressing GLU receptors 22,848,0.379,89.0,262,29,11.07,4.63 (4.06-5.21),233,88.93,4.08 (3.81-4.35),5.23,3.96
GLU like neurons 17,1316,0.213,95.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220,0.313,83.0,410,17,4.15,3.81 (3.18-4.45),393,95.85,4.27 (4.08-4.47),8.74,7.46
GABA neurons expressing GABA receptors 13,265,0.263,87.0,78,18,23.08,4.02 (3.32-4.71),60,76.92,4.48 (3.98-4.99),3.96,4.36
endothelial cells 9,338,0.322,89.0,191,7,3.66,4.78 (3.41-6.15),184,96.34,3.85 (3.63-4.08),3.60,9.37
oligodendrocytes 20,358,0.123,36.0,31,1,3.23,3.60 (NA-NA),30,96.77,2.32 (1.88-2.75),1.83,3.90
GABA like neurons 14,2402,0.493,88.0,455,23,5.05,3.02 (2.32-3.72),432,94.95,4.44 (4.25-4.63),22.76,8.09
astrocytes 8,520,0.345,91.0,288,31,10.76,4.26 (3.79-4.72),257,89.24,4.16 (3.94-4.38),7.09,4.40
oligodendrocyte progenitor cells 12,3303,0.108,81.0,276,22,7.97,3.07 (2.49-3.65),254,92.03,3.60 (3.36-3.83),7.89,4.87
oligodendrocytes 10,806,0.472,95.0,261,15,5.75,3.91 (3.07-4.76),246,94.25,4.39 (4.14-4.65),5.19,6.12
connective tissue cells 21,101,0.277,34.0,116,12,10.34,3.46 (2.32-4.60),104,89.66,4.79 (4.35-5.22),3.23,3.22
astrocytes 15,1768,0.086,50.0,105,10,9.52,2.93 (2.18-3.68),95,90.48,3.24 (2.88-3.61),4.24,3.95
oligodendrocytes 16,313,0.425,90.0,291,22,7.56,3.74 (3.24-4.25),269,92.44,4.39 (4.15-4.63),6.47,3.60
da neurons 6,300,0.372,95.0,159,7,4.4,5.71 (5.13-6.30),152,95.6,4.30 (3.98-4.61),3.01,3.76
astrocytes microglia 23,107,0.298,39.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,157,0.151,29.0,178,22,12.36,2.77 (2.06-3.49),156,87.64,4.40 (4.13-4.67),3.88,4.59
oligodendrocytes 0,1186,0.12,16.0,300,5,1.67,3.87 (2.69-5.05),295,98.33,3.79 (3.58-4.00),2.48,4.18
microglia 1,214,0.31,82.0,227,9,3.96,4.54 (3.69-5.39),218,96.04,4.07 (3.82-4.31),3.67,6.22
oligodendrocytes 3,457,0.172,73.0,345,21,6.09,3.60 (3.13-4.06),324,93.91,4.34 (4.11-4.56),8.26,5.53
oligodendrocytes 2,99,0.176,31.0,116,3,2.59,5.78 (5.38-6.17),113,97.41,3.91 (3.61-4.21),2.33,7.37
