tipo_celular,module_size,SRSF2_MM,SRSF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.14,32.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,518,0.143,41.0,131,5,3.82,3.17 (3.09-3.26),126,96.18,3.07 (2.78-3.36),4.63,4.76
astrocytes 5,1656,0.13,73.0,136,8,5.88,1.87 (1.38-2.35),128,94.12,3.30 (3.02-3.58),7.03,4.86
oligodendrocyte progenitor cells 7,4285,0.163,89.0,353,42,11.9,2.02 (1.64-2.40),311,88.1,4.21 (4.03-4.39),27.89,5.39
GABA neurons expressing GLU receptors 22,567,0.182,46.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1316,0.106,35.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,1220,0.125,27.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45),18.57,7.46
GABA neurons expressing GABA receptors 13,288,0.105,12.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,385,0.096,42.0,275,40,14.55,1.98 (1.63-2.33),235,85.45,4.44 (4.18-4.71),15.46,4.25
oligodendrocytes 20,403,0.132,53.0,18,10,55.56,1.19 (0.55-1.83),8,44.44,2.74 (1.67-3.80),5.10,2.16
GABA like neurons 14,2402,0.199,41.0,455,28,6.15,1.84 (1.42-2.26),427,93.85,4.58 (4.40-4.75),20.44,8.07
astrocytes 8,603,0.113,71.0,89,9,10.11,1.40 (1.01-1.78),80,89.89,2.98 (2.61-3.35),5.10,6.15
oligodendrocyte progenitor cells 12,3303,0.084,57.0,276,28,10.14,2.15 (1.73-2.57),248,89.86,3.75 (3.52-3.97),14.05,4.10
oligodendrocytes 10,483,0.105,46.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,125,0.352,73.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,458,0.1,55.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,81,0.086,2.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,518,0.06,3.0,122,9,7.38,1.37 (0.50-2.24),113,92.62,4.23 (3.85-4.62),3.38,3.49
astrocytes microglia 23,161,0.259,22.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807,0.165,85.0,104,30,28.85,1.99 (1.56-2.42),74,71.15,3.22 (2.90-3.54),9.56,3.71
oligodendrocytes 0,613,0.14,48.0,127,17,13.39,2.73 (2.27-3.19),110,86.61,3.12 (2.63-3.62),4.38,6.57
microglia 1,958,0.103,38.0,290,7,2.41,3.13 (3.01-3.24),283,97.59,3.84 (3.60-4.07),10.58,4.86
oligodendrocytes 3,743,0.117,84.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.164,26.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
