tipo_celular,module_size,SHOC2_MM,SHOC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.164,43.0,73,7,9.59,4.05 (3.66-4.44),66,90.41,3.50 (3.11-3.88),2.44,3.30
T cells 18,624,0.187,76.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,322,0.096,9.0,58,13,22.41,3.27 (2.37-4.17),45,77.59,4.47 (4.02-4.91),2.21,2.35
oligodendrocyte progenitor cells 7,4285,0.142,60.0,353,19,5.38,1.47 (0.94-2.00),334,94.62,4.06 (3.88-4.24),42.60,6.10
GABA neurons expressing GLU receptors 22,487,0.161,25.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,795,0.033,1.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,172,0.292,70.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,238,0.116,20.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.107,33.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,938,0.027,3.0,169,3,1.78,0.38 (0.04-0.71),166,98.22,3.53 (3.31-3.74),3.93,5.39
GABA like neurons 14,3052,0.191,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.047,16.0,83,3,3.61,3.31 (0.92-5.70),80,96.39,3.25 (2.79-3.71),1.72,4.57
oligodendrocyte progenitor cells 12,3303,0.103,78.0,276,15,5.43,1.82 (1.32-2.31),261,94.57,3.66 (3.43-3.88),16.85,4.44
oligodendrocytes 10,2107,0.107,32.0,358,25,6.98,1.52 (1.08-1.96),333,93.02,4.09 (3.91-4.28),35.24,7.54
connective tissue cells 21,139,0.202,6.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,268,0.056,30.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,81,0.2,60.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,553,0.123,47.0,124,3,2.42,2.23 (-1.35-5.82),121,97.58,4.23 (3.83-4.62),2.49,3.05
astrocytes microglia 23,327,0.211,12.0,120,28,23.33,2.48 (1.99-2.97),92,76.67,4.02 (3.69-4.34),3.78,2.50
astrocytes 4,787,0.159,65.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.139,40.0,300,10,3.33,3.90 (3.38-4.43),290,96.67,3.79 (3.58-4.00),3.63,4.17
microglia 1,958,0.125,71.0,290,8,2.76,2.43 (1.17-3.69),282,97.24,3.86 (3.63-4.09),5.08,5.00
oligodendrocytes 3,854,0.095,57.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.136,47.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
