tipo_celular,module_size,SFPQ_MM,SFPQ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.213,50.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,477,0.111,16.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),3.12,7.22
astrocytes 5,1141,0.155,80.0,166,52,31.33,2.49 (2.19-2.79),114,68.67,3.89 (3.58-4.20),5.47,4.13
oligodendrocyte progenitor cells 7,448,0.161,67.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069,0.128,23.0,37,6,16.22,2.36 (1.87-2.85),31,83.78,2.11 (1.56-2.66),2.42,3.23
GLU like neurons 17,685,0.187,74.0,135,47,34.81,2.60 (2.21-2.99),88,65.19,3.59 (3.17-4.00),3.77,3.74
da like neurons 11,408,0.073,9.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,288,0.106,13.0,93,4,4.3,1.11 (0.68-1.54),89,95.7,5.39 (4.92-5.85),2.79,4.00
endothelial cells 9,412,0.135,30.0,141,14,9.93,2.61 (2.04-3.17),127,90.07,3.00 (2.75-3.26),3.00,7.24
oligodendrocytes 20,295,0.084,14.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44),1.98,3.51
GABA like neurons 14,3052,0.175,79.0,125,3,2.4,3.33 (2.92-3.75),122,97.6,3.35 (3.02-3.69),3.08,8.75
astrocytes 8,577,0.033,4.0,83,9,10.84,3.19 (0.86-5.53),74,89.16,3.26 (2.80-3.71),2.05,4.77
oligodendrocyte progenitor cells 12,153,0.436,63.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,2107,0.177,61.0,358,98,27.37,2.45 (2.21-2.68),260,72.63,4.64 (4.46-4.83),20.25,5.41
connective tissue cells 21,78,0.296,69.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.201,99.0,105,31,29.52,1.99 (1.66-2.32),74,70.48,3.76 (3.36-4.16),5.84,3.20
oligodendrocytes 16,96,0.126,4.0,102,18,17.65,1.55 (1.20-1.90),84,82.35,3.84 (3.52-4.16),5.34,8.16
da neurons 6,518,0.101,41.0,122,11,9.02,1.39 (0.75-2.02),111,90.98,4.34 (3.96-4.72),3.78,3.45
astrocytes microglia 23,190,0.233,29.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.201,98.0,96,17,17.71,2.75 (2.36-3.14),79,82.29,3.43 (3.03-3.83),2.58,4.69
oligodendrocytes 0,1186,0.158,71.0,300,26,8.67,3.75 (3.31-4.18),274,91.33,3.80 (3.57-4.02),4.81,4.09
microglia 1,958,0.17,95.0,290,29,10.0,2.89 (2.36-3.41),261,90.0,3.94 (3.70-4.19),6.18,4.87
oligodendrocytes 3,1003,0.103,58.0,111,4,3.6,4.14 (1.88-6.40),107,96.4,3.27 (2.92-3.61),2.60,4.29
oligodendrocytes 2,804,0.151,50.0,84,10,11.9,1.92 (0.86-2.98),74,88.1,2.81 (2.46-3.15),2.63,3.50
