tipo_celular,module_size,ATP1A1_MM,ATP1A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.264,77.0,140,6,4.29,3.33 (2.18-4.48),134,95.71,4.59 (4.15-5.03),3.54,3.57
T cells 18,282,0.207,67.0,241,19,7.88,4.03 (3.39-4.66),222,92.12,4.06 (3.79-4.33),3.92,4.38
astrocytes 5,228,0.242,77.0,266,61,22.93,3.22 (2.84-3.60),205,77.07,4.48 (4.25-4.70),6.33,4.58
oligodendrocyte progenitor cells 7,628,0.327,92.0,164,11,6.71,4.17 (3.19-5.15),153,93.29,4.08 (3.73-4.42),4.87,7.72
GABA neurons expressing GLU receptors 22,848,0.4,91.0,262,31,11.83,3.31 (2.70-3.91),231,88.17,4.30 (4.04-4.57),6.19,3.82
GLU like neurons 17,1316,0.154,75.0,101,2,1.98,4.82 (4.14-5.50),99,98.02,3.01 (2.65-3.36),2.87,3.06
da like neurons 11,1220,0.356,89.0,410,41,10.0,3.25 (2.78-3.71),369,90.0,4.39 (4.19-4.58),10.59,7.17
GABA neurons expressing GABA receptors 13,357,0.241,79.0,237,21,8.86,3.91 (3.31-4.51),216,91.14,4.47 (4.23-4.72),3.61,4.24
endothelial cells 9,559,0.317,85.0,155,3,1.94,5.62 (2.92-8.33),152,98.06,4.30 (3.93-4.67),3.47,4.35
oligodendrocytes 20,322,0.114,45.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,2402,0.412,81.0,455,29,6.37,2.66 (1.87-3.46),426,93.63,4.47 (4.29-4.66),23.29,7.85
astrocytes 8,520,0.418,96.0,288,34,11.81,3.63 (3.08-4.19),254,88.19,4.26 (4.04-4.47),8.35,4.19
oligodendrocyte progenitor cells 12,103,0.501,80.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,806,0.443,93.0,261,36,13.79,3.62 (3.14-4.10),225,86.21,4.51 (4.24-4.78),5.53,6.15
connective tissue cells 21,136,0.291,54.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,261,0.185,72.0,8,5,62.5,3.59 (0.66-6.52),3,37.5,3.89 (3.17-4.62),1.79,1.90
oligodendrocytes 16,313,0.299,73.0,291,54,18.56,3.46 (3.14-3.78),237,81.44,4.61 (4.34-4.87),4.50,3.66
da neurons 6,518,0.301,100.0,122,36,29.51,2.68 (2.17-3.19),86,70.49,4.67 (4.22-5.13),3.46,3.49
astrocytes microglia 23,122,0.296,48.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,157,0.209,63.0,178,39,21.91,3.17 (2.60-3.74),139,78.09,4.49 (4.22-4.77),6.20,4.02
oligodendrocytes 0,613,0.125,31.0,127,2,1.57,NA,125,98.43,3.05 (2.64-3.46),1.99,6.35
microglia 1,214,0.216,61.0,227,34,14.98,3.88 (3.42-4.34),193,85.02,4.14 (3.87-4.41),7.98,5.79
oligodendrocytes 3,457,0.161,69.0,345,43,12.46,3.55 (3.16-3.95),302,87.54,4.41 (4.18-4.64),8.35,5.31
oligodendrocytes 2,528,0.219,60.0,175,16,9.14,3.54 (2.65-4.44),159,90.86,4.47 (4.10-4.84),11.48,3.93
