tipo_celular,module_size,FAF2_MM,FAF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.135,24.0,102,18,17.65,2.68 (2.05-3.31),84,82.35,3.65 (3.24-4.06),4.00,2.83
T cells 18,477,0.155,45.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),1.80,7.25
astrocytes 5,423,0.091,8.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.137,53.0,353,50,14.16,2.43 (2.04-2.83),303,85.84,4.19 (4.01-4.38),21.20,5.90
GABA neurons expressing GLU receptors 22,599,0.348,94.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316,0.157,77.0,101,6,5.94,4.12 (3.98-4.25),95,94.06,3.02 (2.67-3.38),2.93,3.06
da like neurons 11,108,0.256,68.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,75,0.168,52.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.132,54.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348,0.082,39.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2090,0.125,29.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,727,0.077,29.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.091,65.0,276,36,13.04,2.63 (2.24-3.02),240,86.96,3.71 (3.47-3.94),11.88,4.09
oligodendrocytes 10,735,0.024,1.0,277,9,3.25,7.48 (6.49-8.47),268,96.75,3.80 (3.57-4.04),2.84,9.15
connective tissue cells 21,111,0.262,41.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401,0.06,25.0,96,5,5.21,2.22 (1.44-2.99),91,94.79,3.71 (3.24-4.18),6.07,3.67
oligodendrocytes 16,156,0.213,61.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,307,0.09,22.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,103,0.25,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.142,22.0,95,1,1.05,1.94 (NA-NA),94,98.95,3.39 (2.97-3.81),3.41,4.65
oligodendrocytes 0,2078,0.135,89.0,238,8,3.36,2.57 (1.39-3.75),230,96.64,3.67 (3.45-3.89),9.68,4.86
microglia 1,813,0.093,19.0,79,11,13.92,3.79 (2.96-4.61),68,86.08,2.98 (2.53-3.42),2.91,8.71
oligodendrocytes 3,1003,0.052,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630,0.111,7.0,154,3,1.95,6.89 (NA-NA),151,98.05,3.22 (2.96-3.48),2.88,3.61
