tipo_celular,module_size,RERE_MM,RERE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.197,67.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388,0.136,42.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,222,0.208,51.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00),NA,2.65
oligodendrocyte progenitor cells 7,436,0.106,33.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,203,0.117,7.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,489,0.131,44.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,200,0.261,71.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,288,0.195,60.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,1653,0.265,99.0,297,2,0.67,5.16 (5.16-5.16),295,99.33,3.66 (3.46-3.87),11.14,5.48
oligodendrocytes 20,676,0.431,72.0,110,1,0.91,NA,109,99.09,4.99 (4.54-5.44),1.88,3.54
GABA like neurons 14,1300,0.362,98.0,306,3,0.98,3.17 (1.97-4.36),303,99.02,5.12 (4.85-5.39),2.15,6.75
astrocytes 8,279,0.227,30.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,143,0.102,15.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.085,20.0,358,18,5.03,2.19 (1.39-2.98),340,94.97,3.97 (3.78-4.17),44.48,7.62
connective tissue cells 21,116,0.129,0.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,418,0.408,83.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,287,0.239,34.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52),NA,3.47
da neurons 6,398,0.293,86.0,138,9,6.52,2.84 (1.48-4.20),129,93.48,4.97 (4.60-5.34),2.26,2.77
astrocytes microglia 23,122,0.199,3.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,514,0.09,2.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,261,0.106,10.0,42,1,2.38,1.18 (NA-NA),41,97.62,4.15 (3.46-4.84),2.19,2.28
microglia 1,315,0.126,27.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,99,0.148,16.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.24,62.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
