tipo_celular,module_size,TSC22D1_MM,TSC22D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.195,68.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,282,0.13,15.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141,0.163,87.0,166,13,7.83,1.36 (0.92-1.80),153,92.17,3.60 (3.36-3.85),5.03,4.51
oligodendrocyte progenitor cells 7,628,0.344,94.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,703,0.219,70.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,685,0.258,86.0,135,26,19.26,2.58 (1.95-3.21),109,80.74,3.37 (3.03-3.71),3.67,3.77
da like neurons 11,168,0.101,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238,0.145,38.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,559,0.479,97.0,155,3,1.94,3.70 (2.59-4.82),152,98.06,4.35 (3.98-4.72),3.03,4.36
oligodendrocytes 20,275,0.166,35.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,1300,0.069,5.0,306,25,8.17,2.50 (2.10-2.90),281,91.83,5.45 (5.20-5.71),6.42,6.73
astrocytes 8,218,0.171,72.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,254,0.141,21.0,37,14,37.84,3.16 (2.77-3.55),23,62.16,5.60 (4.96-6.23),2.32,2.56
oligodendrocytes 10,735,0.133,70.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,301,0.207,7.0,158,11,6.96,4.00 (3.11-4.90),147,93.04,4.28 (3.88-4.68),2.13,7.44
astrocytes 15,1768,0.222,100.0,105,13,12.38,1.38 (0.98-1.78),92,87.62,3.50 (3.15-3.84),5.11,3.82
oligodendrocytes 16,121,0.199,39.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,518,0.096,33.0,122,7,5.74,0.84 (0.38-1.29),115,94.26,4.24 (3.87-4.62),3.63,3.47
astrocytes microglia 23,255,0.162,3.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01),1.81,3.36
astrocytes 4,208,0.212,58.0,173,10,5.78,4.80 (4.40-5.19),163,94.22,3.71 (3.39-4.03),3.25,5.77
oligodendrocytes 0,1186,0.172,88.0,300,5,1.67,3.10 (2.61-3.58),295,98.33,3.81 (3.60-4.02),5.92,4.13
microglia 1,346,0.109,20.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,681,0.105,60.0,87,21,24.14,1.66 (1.31-2.02),66,75.86,2.91 (2.60-3.22),5.16,3.95
oligodendrocytes 2,921,0.125,30.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
