tipo_celular,module_size,DST_MM,DST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.259,73.0,15,4,26.67,4.48 (4.05-4.91),11,73.33,6.08 (5.36-6.80),2.79,2.17
T cells 18,349,0.371,86.0,68,19,27.94,2.71 (1.81-3.61),49,72.06,4.92 (4.34-5.51),2.80,3.51
astrocytes 5,322,0.274,85.0,58,12,20.69,3.82 (2.92-4.72),46,79.31,4.29 (3.80-4.77),1.99,2.40
oligodendrocyte progenitor cells 7,200,0.135,31.0,16,4,25.0,2.53 (2.34-2.73),12,75.0,4.16 (3.27-5.04),1.73,5.14
GABA neurons expressing GLU receptors 22,567,0.191,49.0,16,6,37.5,2.88 (1.99-3.78),10,62.5,1.47 (0.71-2.22),1.68,4.81
GLU like neurons 17,637,0.145,45.0,91,24,26.37,2.60 (1.61-3.58),67,73.63,5.36 (4.92-5.81),3.27,2.98
da like neurons 11,77,0.429,82.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,266,0.194,67.0,118,11,9.32,4.78 (3.90-5.65),107,90.68,4.73 (4.36-5.11),3.39,4.05
endothelial cells 9,450,0.423,81.0,74,8,10.81,3.82 (2.44-5.19),66,89.19,5.61 (5.04-6.18),2.74,3.74
oligodendrocytes 20,676,0.133,37.0,110,20,18.18,4.06 (2.85-5.27),90,81.82,5.21 (4.75-5.68),3.46,3.54
GABA like neurons 14,1300,0.189,42.0,306,33,10.78,3.12 (2.44-3.80),273,89.22,5.43 (5.17-5.69),6.48,6.73
astrocytes 8,262,0.308,96.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708,0.229,81.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08),1.74,2.65
oligodendrocytes 10,204,0.385,34.0,92,10,10.87,5.50 (3.84-7.16),82,89.13,5.73 (5.24-6.22),4.04,3.68
connective tissue cells 21,250,0.305,49.0,117,16,13.68,4.34 (3.18-5.51),101,86.32,5.57 (5.17-5.98),3.73,3.74
astrocytes 15,338,0.124,30.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,149,0.122,10.0,70,1,1.43,7.18 (NA-NA),69,98.57,5.62 (5.14-6.10),4.21,3.30
da neurons 6,553,0.21,87.0,124,10,8.06,3.76 (2.10-5.42),114,91.94,4.21 (3.80-4.61),3.47,2.99
astrocytes microglia 23,91,0.312,72.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171,0.176,50.0,22,4,18.18,5.29 (2.41-8.18),18,81.82,4.38 (3.41-5.35),1.95,2.03
oligodendrocytes 0,187,0.097,7.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,127,0.141,34.0,24,4,16.67,4.08 (1.04-7.12),20,83.33,5.37 (4.73-6.01),2.02,2.56
oligodendrocytes 3,357,0.548,100.0,127,2,1.57,NA,125,98.43,3.12 (2.79-3.45),2.30,4.27
oligodendrocytes 2,804,0.229,98.0,84,7,8.33,2.24 (1.04-3.45),77,91.67,2.74 (2.39-3.09),2.50,3.48
