tipo_celular,module_size,SELENOF_MM,SELENOF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.172,29.0,21,8,38.1,1.12 (0.45-1.80),13,61.9,3.08 (2.45-3.72),2.28,1.83
T cells 18,610,0.207,84.0,98,15,15.31,1.12 (0.72-1.53),83,84.69,3.53 (3.24-3.82),8.74,3.19
astrocytes 5,1656,0.109,38.0,136,5,3.68,1.98 (1.09-2.87),131,96.32,3.26 (2.99-3.54),6.54,4.93
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,21,5.95,1.25 (0.92-1.59),332,94.05,4.11 (3.93-4.28),36.22,6.28
GABA neurons expressing GLU receptors 22,823,0.098,8.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1247,0.114,35.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200,0.125,20.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,101,0.191,73.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,559,0.1,23.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,275,0.192,46.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052,0.154,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.038,5.0,288,4,1.39,2.12 (0.84-3.41),284,98.61,4.21 (4.01-4.41),6.17,4.66
oligodendrocyte progenitor cells 12,3303,0.051,16.0,276,14,5.07,1.65 (1.30-1.99),262,94.93,3.68 (3.46-3.90),15.68,4.55
oligodendrocytes 10,483,0.156,63.0,129,1,0.78,8.28 (NA-NA),128,99.22,3.38 (3.00-3.76),1.71,19.33
connective tissue cells 21,92,0.284,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443,0.187,76.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,158,0.164,25.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,448,0.08,24.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,115,0.284,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.147,56.0,104,16,15.38,1.58 (1.13-2.04),88,84.62,3.12 (2.82-3.41),12.94,4.03
oligodendrocytes 0,2078,0.118,58.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,813,0.09,17.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,743,0.073,38.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,528,0.156,22.0,175,5,2.86,5.66 (3.00-8.32),170,97.14,4.34 (3.99-4.69),5.44,4.60
