tipo_celular,module_size,RALGAPA1_MM,RALGAPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.214,61.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,518,0.19,72.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141,0.163,87.0,166,8,4.82,3.22 (1.75-4.69),158,95.18,3.40 (3.15-3.65),5.19,4.52
oligodendrocyte progenitor cells 7,448,0.075,7.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.085,3.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,637,0.121,33.0,91,10,10.99,1.89 (0.65-3.13),81,89.01,5.00 (4.51-5.49),3.10,3.05
da like neurons 11,71,0.111,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.231,72.0,93,6,6.45,3.64 (2.28-5.00),87,93.55,5.29 (4.77-5.80),3.37,3.99
endothelial cells 9,658,0.273,71.0,120,6,5.0,5.30 (4.03-6.57),114,95.0,4.57 (4.24-4.89),3.68,3.65
oligodendrocytes 20,676,0.677,95.0,110,1,0.91,0.79 (NA-NA),109,99.09,5.05 (4.61-5.49),4.12,3.52
GABA like neurons 14,1300,0.225,59.0,306,9,2.94,4.13 (2.69-5.58),297,97.06,5.14 (4.87-5.40),7.04,6.70
astrocytes 8,771,0.16,58.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,254,0.248,40.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,236,0.506,55.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,104,0.268,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.122,80.0,105,3,2.86,1.22 (0.43-2.02),102,97.14,3.28 (2.94-3.61),5.47,3.93
oligodendrocytes 16,287,0.397,77.0,105,1,0.95,0.79 (NA-NA),104,99.05,5.14 (4.70-5.57),2.31,3.48
da neurons 6,398,0.205,69.0,138,14,10.14,4.46 (2.98-5.95),124,89.86,4.87 (4.50-5.24),3.36,2.66
astrocytes microglia 23,127,0.132,0.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,752,0.174,81.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,261,0.249,88.0,42,2,4.76,0.98 (0.60-1.36),40,95.24,4.27 (3.59-4.94),2.59,2.26
microglia 1,958,0.125,70.0,290,1,0.34,0.79 (NA-NA),289,99.66,3.83 (3.60-4.06),5.96,5.00
oligodendrocytes 3,99,0.273,71.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.249,64.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
