tipo_celular,module_size,BTBD10_MM,BTBD10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.152,15.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85),2.25,1.82
T cells 18,610,0.128,32.0,98,17,17.35,1.48 (0.97-1.99),81,82.65,3.51 (3.20-3.82),9.99,2.79
astrocytes 5,1656,0.146,92.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285,0.14,57.0,353,20,5.67,1.53 (1.01-2.05),333,94.33,4.08 (3.90-4.25),38.22,6.25
GABA neurons expressing GLU receptors 22,823,0.142,26.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316,0.09,19.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,132,0.084,10.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,77,0.22,78.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,1653,0.129,52.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,298,0.034,6.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.044,9.0,288,3,1.04,2.50 (0.59-4.42),285,98.96,4.19 (3.99-4.39),2.41,4.71
oligodendrocyte progenitor cells 12,3303,0.102,76.0,276,18,6.52,2.03 (1.59-2.47),258,93.48,3.68 (3.46-3.91),14.49,4.46
oligodendrocytes 10,2107,0.062,9.0,358,26,7.26,1.53 (1.11-1.95),332,92.74,4.11 (3.93-4.30),33.51,7.59
connective tissue cells 21,139,0.407,92.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1401,0.071,36.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20),4.30,3.77
oligodendrocytes 16,64,0.165,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228,0.101,54.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,140,0.254,15.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807,0.143,47.0,104,11,10.58,1.70 (1.04-2.36),93,89.42,3.01 (2.72-3.30),17.23,4.00
oligodendrocytes 0,2078,0.096,16.0,238,2,0.84,1.42 (-0.96-3.80),236,99.16,3.66 (3.44-3.88),7.51,5.00
microglia 1,813,0.118,53.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49),3.77,7.95
oligodendrocytes 3,854,0.066,20.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,347,0.163,31.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
