tipo_celular,module_size,AAK1_MM,AAK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.141,21.0,140,11,7.86,3.22 (2.39-4.05),129,92.14,4.68 (4.39-4.97),4.38,3.47
T cells 18,388,0.126,35.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30),1.31,4.36
astrocytes 5,328,0.062,2.0,128,2,1.56,5.17 (5.12-5.21),126,98.44,3.53 (3.19-3.88),1.51,6.85
oligodendrocyte progenitor cells 7,448,0.166,70.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.211,71.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,795,0.155,62.0,80,9,11.25,3.30 (2.43-4.17),71,88.75,5.86 (5.46-6.26),3.62,2.94
da like neurons 11,102,0.32,70.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA,2.29,1.70
GABA neurons expressing GABA receptors 13,266,0.188,64.0,118,6,5.08,4.56 (1.34-7.78),112,94.92,4.74 (4.38-5.10),3.47,4.02
endothelial cells 9,658,0.176,39.0,120,28,23.33,3.28 (2.92-3.64),92,76.67,5.07 (4.71-5.42),4.72,3.33
oligodendrocytes 20,403,0.201,78.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,2402,0.296,65.0,455,27,5.93,2.77 (2.02-3.52),428,94.07,4.48 (4.30-4.67),22.31,7.98
astrocytes 8,520,0.051,14.0,288,35,12.15,3.80 (3.25-4.36),253,87.85,4.23 (4.02-4.45),7.01,4.36
oligodendrocyte progenitor cells 12,153,0.391,45.0,27,6,22.22,3.48 (1.66-5.30),21,77.78,5.33 (4.28-6.38),3.01,1.90
oligodendrocytes 10,2107,0.085,21.0,358,36,10.06,2.11 (1.66-2.55),322,89.94,4.14 (3.95-4.33),20.07,8.29
connective tissue cells 21,85,0.262,29.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,261,0.083,15.0,8,5,62.5,2.11 (0.07-4.15),3,37.5,5.77 (3.36-8.18),1.84,1.81
oligodendrocytes 16,82,0.167,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.113,64.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,99,0.211,9.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,208,0.102,3.0,173,2,1.16,5.17 (5.12-5.21),171,98.84,3.77 (3.47-4.08),1.86,5.66
oligodendrocytes 0,86,0.051,0.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,406,0.05,1.0,278,6,2.16,5.15 (4.07-6.23),272,97.84,4.34 (4.06-4.61),3.38,6.81
oligodendrocytes 3,854,0.081,40.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05),2.82,4.94
oligodendrocytes 2,526,0.088,3.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
