tipo_celular,module_size,CSNK2A1_MM,CSNK2A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.181,51.0,73,10,13.7,4.01 (3.76-4.27),63,86.3,3.47 (3.07-3.88),2.73,3.30
T cells 18,624,0.159,56.0,142,13,9.15,4.01 (3.50-4.52),129,90.85,3.12 (2.83-3.40),2.56,4.47
astrocytes 5,932,0.113,56.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.119,26.0,353,89,25.21,2.92 (2.57-3.26),264,74.79,4.33 (4.14-4.52),17.40,4.92
GABA neurons expressing GLU receptors 22,703,0.163,36.0,23,5,21.74,2.17 (1.32-3.02),18,78.26,2.07 (1.22-2.93),2.79,4.24
GLU like neurons 17,795,0.133,51.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26),2.89,3.02
da like neurons 11,853,0.126,47.0,133,43,32.33,2.31 (1.92-2.70),90,67.67,3.81 (3.42-4.20),5.09,3.72
GABA neurons expressing GABA receptors 13,266,0.093,8.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11),2.57,4.00
endothelial cells 9,1653,0.112,38.0,297,19,6.4,3.80 (3.13-4.48),278,93.6,3.67 (3.45-3.88),4.85,5.56
oligodendrocytes 20,358,0.205,73.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,3052,0.206,94.0,125,5,4.0,3.32 (2.90-3.74),120,96.0,3.35 (3.01-3.69),5.32,8.75
astrocytes 8,218,0.065,37.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.058,24.0,276,68,24.64,2.74 (2.43-3.06),208,75.36,3.89 (3.63-4.15),9.73,3.60
oligodendrocytes 10,2107,0.115,36.0,358,102,28.49,2.83 (2.52-3.14),256,71.51,4.45 (4.25-4.65),18.71,5.79
connective tissue cells 21,84,0.342,87.0,4,3,75.0,4.34 (4.07-4.60),1,25.0,NA,1.84,1.81
astrocytes 15,443,0.123,29.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18),3.04,1.99
oligodendrocytes 16,75,0.236,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228,0.073,18.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,78,0.181,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.135,21.0,61,7,11.48,3.66 (2.47-4.86),54,88.52,2.87 (2.43-3.30),3.16,6.39
oligodendrocytes 0,1186,0.129,27.0,300,30,10.0,4.01 (3.51-4.51),270,90.0,3.77 (3.54-3.99),5.36,4.02
microglia 1,813,0.116,50.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51),5.40,7.93
oligodendrocytes 3,854,0.079,36.0,76,9,11.84,3.57 (2.65-4.49),67,88.16,2.66 (2.32-3.01),2.73,4.99
oligodendrocytes 2,921,0.106,9.0,200,12,6.0,3.88 (2.75-5.02),188,94.0,3.60 (3.33-3.88),5.04,3.36
