tipo_celular,module_size,HNRNPK_MM,HNRNPK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.199,52.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47),1.36,5.50
T cells 18,506,0.138,29.0,225,37,16.44,2.81 (2.30-3.32),188,83.56,3.77 (3.50-4.04),14.09,6.69
astrocytes 5,228,0.1,9.0,266,31,11.65,2.28 (1.70-2.85),235,88.35,4.35 (4.15-4.56),7.89,4.60
oligodendrocyte progenitor cells 7,628,0.208,72.0,164,3,1.83,3.17 (1.32-5.02),161,98.17,4.11 (3.78-4.44),7.17,7.53
GABA neurons expressing GLU receptors 22,848,0.433,95.0,262,31,11.83,2.69 (2.04-3.34),231,88.17,4.32 (4.07-4.58),7.09,3.70
GLU like neurons 17,685,0.159,65.0,135,44,32.59,2.49 (2.00-2.98),91,67.41,3.52 (3.16-3.89),4.76,3.26
da like neurons 11,1220,0.199,56.0,410,27,6.59,3.07 (2.47-3.68),383,93.41,4.32 (4.13-4.52),12.73,7.15
GABA neurons expressing GABA receptors 13,265,0.137,38.0,78,7,8.97,3.09 (2.28-3.90),71,91.03,4.53 (4.09-4.96),5.40,4.15
endothelial cells 9,559,0.16,52.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,330,0.111,23.0,36,19,52.78,2.08 (1.81-2.36),17,47.22,1.71 (1.01-2.42),2.60,3.71
GABA like neurons 14,2402,0.343,73.0,455,51,11.21,2.18 (1.78-2.58),404,88.79,4.63 (4.45-4.81),17.66,7.72
astrocytes 8,520,0.122,52.0,288,26,9.03,3.17 (2.47-3.86),262,90.97,4.26 (4.06-4.47),8.75,4.28
oligodendrocyte progenitor cells 12,218,0.39,89.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,483,0.227,75.0,129,7,5.43,4.03 (3.42-4.65),122,94.57,3.40 (3.00-3.81),13.26,19.53
connective tissue cells 21,142,0.345,68.0,55,13,23.64,2.34 (1.35-3.32),42,76.36,4.12 (2.99-5.24),2.46,3.54
astrocytes 15,1768,0.096,59.0,105,33,31.43,2.23 (1.74-2.72),72,68.57,3.67 (3.28-4.06),5.66,3.21
oligodendrocytes 16,81,0.126,14.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,300,0.168,52.0,159,1,0.63,5.34 (NA-NA),158,99.37,4.36 (4.05-4.67),3.27,3.73
astrocytes microglia 23,124,0.271,23.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,721,0.153,51.0,61,7,11.48,3.18 (2.25-4.10),54,88.52,2.94 (2.48-3.39),2.05,6.53
oligodendrocytes 0,613,0.166,71.0,127,31,24.41,2.66 (2.28-3.03),96,75.59,3.24 (2.66-3.82),3.59,7.15
microglia 1,406,0.121,26.0,278,7,2.52,5.21 (4.39-6.02),271,97.48,4.33 (4.05-4.61),1.87,6.86
oligodendrocytes 3,743,0.132,89.0,76,3,3.95,2.44 (NA-NA),73,96.05,3.17 (2.77-3.57),1.88,7.51
oligodendrocytes 2,528,0.301,85.0,175,28,16.0,3.50 (3.01-4.00),147,84.0,4.56 (4.16-4.96),7.98,3.98
