tipo_celular,module_size,ARFGEF2_MM,ARFGEF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.144,40.0,71,5,7.04,2.00 (0.99-3.01),66,92.96,2.68 (2.24-3.12),1.91,3.70
T cells 18,477,0.207,77.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.09,6.0,166,21,12.65,2.27 (1.56-2.99),145,87.35,3.56 (3.30-3.82),3.69,4.67
oligodendrocyte progenitor cells 7,4285,0.152,75.0,353,46,13.03,2.46 (1.99-2.93),307,86.97,4.17 (3.99-4.36),16.35,6.82
GABA neurons expressing GLU receptors 22,823,0.222,77.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23),2.34,3.53
GLU like neurons 17,489,0.086,15.0,42,13,30.95,5.67 (4.53-6.81),29,69.05,6.09 (5.44-6.74),4.36,2.70
da like neurons 11,853,0.095,23.0,133,22,16.54,1.80 (1.12-2.48),111,83.46,3.59 (3.27-3.90),5.16,3.96
GABA neurons expressing GABA receptors 13,77,0.134,27.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,658,0.33,83.0,120,16,13.33,3.22 (2.64-3.81),104,86.67,4.84 (4.50-5.17),5.04,3.44
oligodendrocytes 20,271,0.174,52.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052,0.209,94.0,125,2,1.6,4.56 (NA-NA),123,98.4,3.34 (3.02-3.67),4.87,8.67
astrocytes 8,577,0.065,31.0,83,2,2.41,1.36 (0.40-2.32),81,97.59,3.31 (2.86-3.76),2.08,4.53
oligodendrocyte progenitor cells 12,3303,0.082,54.0,276,32,11.59,2.25 (1.87-2.63),244,88.41,3.76 (3.53-4.00),5.50,5.06
oligodendrocytes 10,2107,0.128,42.0,358,49,13.69,2.26 (1.81-2.71),309,86.31,4.20 (4.01-4.38),16.64,8.34
connective tissue cells 21,145,0.259,30.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,338,0.108,16.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,121,0.211,51.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,307,0.11,40.0,95,4,4.21,4.93 (4.79-5.07),91,95.79,4.84 (4.38-5.30),3.92,3.34
astrocytes microglia 23,255,0.36,99.0,57,2,3.51,2.63 (2.46-2.79),55,96.49,2.65 (2.28-3.03),2.75,3.35
astrocytes 4,721,0.121,8.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186,0.141,42.0,300,9,3.0,3.69 (2.83-4.55),291,97.0,3.80 (3.59-4.01),3.56,4.17
microglia 1,346,0.092,9.0,43,3,6.98,3.74 (2.94-4.55),40,93.02,3.77 (3.22-4.32),2.50,4.63
oligodendrocytes 3,1003,0.081,34.0,111,3,2.7,4.74 (2.50-6.99),108,97.3,3.26 (2.91-3.60),2.14,4.29
oligodendrocytes 2,804,0.141,36.0,84,9,10.71,2.07 (0.97-3.17),75,89.29,2.77 (2.42-3.12),2.66,3.48
