tipo_celular,module_size,MORF4L2_MM,MORF4L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.234,93.0,71,10,14.08,2.30 (1.54-3.05),61,85.92,2.69 (2.22-3.16),3.36,3.61
T cells 18,477,0.162,50.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.195,75.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666,0.389,96.0,127,7,5.51,1.56 (1.08-2.05),120,94.49,4.03 (3.70-4.36),4.52,5.92
GABA neurons expressing GLU receptors 22,848,0.209,49.0,262,8,3.05,1.43 (0.69-2.17),254,96.95,4.26 (4.02-4.51),4.16,4.10
GLU like neurons 17,1316,0.183,89.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,1220,0.223,64.0,410,9,2.2,3.08 (1.98-4.18),401,97.8,4.28 (4.10-4.47),6.63,7.54
GABA neurons expressing GABA receptors 13,265,0.15,44.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,385,0.151,80.0,275,61,22.18,2.30 (2.01-2.59),214,77.82,4.73 (4.46-5.00),9.37,4.89
oligodendrocytes 20,938,0.085,29.0,169,6,3.55,2.62 (0.90-4.33),163,96.45,3.52 (3.30-3.74),2.83,5.46
GABA like neurons 14,2402,0.394,79.0,455,22,4.84,1.60 (1.11-2.08),433,95.16,4.54 (4.36-4.72),19.75,8.28
astrocytes 8,520,0.173,66.0,288,5,1.74,1.39 (0.67-2.11),283,98.26,4.24 (4.04-4.43),4.45,4.69
oligodendrocyte progenitor cells 12,3303,0.112,84.0,276,52,18.84,2.20 (1.97-2.43),224,81.16,3.98 (3.74-4.23),9.29,4.14
oligodendrocytes 10,806,0.249,71.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,102,0.225,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.12,77.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20),4.30,3.77
oligodendrocytes 16,313,0.151,19.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,409,0.116,47.0,235,7,2.98,1.85 (1.32-2.39),228,97.02,4.07 (3.82-4.32),6.35,4.36
astrocytes microglia 23,327,0.316,44.0,120,22,18.33,2.24 (1.65-2.82),98,81.67,4.01 (3.71-4.30),3.26,2.69
astrocytes 4,514,0.299,86.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95),3.16,4.72
oligodendrocytes 0,613,0.183,81.0,127,17,13.39,2.19 (1.86-2.52),110,86.61,3.28 (2.78-3.79),3.57,6.70
microglia 1,958,0.149,89.0,290,11,3.79,1.90 (1.39-2.41),279,96.21,3.91 (3.68-4.14),4.72,5.01
oligodendrocytes 3,457,0.123,55.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49),6.65,5.69
oligodendrocytes 2,528,0.178,36.0,175,7,4.0,3.26 (2.17-4.35),168,96.0,4.45 (4.09-4.81),2.73,4.70
