tipo_celular,module_size,SMARCA4_MM,SMARCA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.184,35.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,388,0.099,18.0,84,22,26.19,3.86 (3.32-4.39),62,73.81,2.66 (2.29-3.03),2.25,5.06
astrocytes 5,932,0.163,95.0,80,11,13.75,4.73 (4.29-5.17),69,86.25,3.49 (3.03-3.94),2.99,4.51
oligodendrocyte progenitor cells 7,4285,0.123,31.0,353,107,30.31,2.80 (2.53-3.07),246,69.69,4.49 (4.29-4.69),14.02,5.47
GABA neurons expressing GLU receptors 22,1069,0.126,21.0,37,10,27.03,2.98 (1.94-4.03),27,72.97,1.91 (1.45-2.38),2.20,3.43
GLU like neurons 17,1247,0.252,94.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.223,89.0,133,68,51.13,2.48 (2.17-2.79),65,48.87,4.20 (3.73-4.66),5.09,3.19
GABA neurons expressing GABA receptors 13,77,0.074,0.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,1653,0.1,26.0,297,37,12.46,3.83 (3.55-4.12),260,87.54,3.65 (3.42-3.88),4.93,5.60
oligodendrocytes 20,253,0.186,63.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,1300,0.367,99.0,306,32,10.46,2.76 (2.35-3.18),274,89.54,5.51 (5.25-5.76),6.73,6.70
astrocytes 8,1266,0.115,75.0,66,34,51.52,2.53 (1.95-3.10),32,48.48,3.95 (3.46-4.44),3.19,2.70
oligodendrocyte progenitor cells 12,708,0.302,86.0,32,10,31.25,1.21 (0.56-1.85),22,68.75,4.21 (3.35-5.07),3.41,2.23
oligodendrocytes 10,735,0.15,76.0,277,1,0.36,5.98 (NA-NA),276,99.64,3.88 (3.64-4.13),3.81,8.96
connective tissue cells 21,139,0.242,25.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1401,0.064,29.0,96,12,12.5,2.88 (2.12-3.63),84,87.5,3.73 (3.23-4.23),3.78,3.80
oligodendrocytes 16,123,0.177,25.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,307,0.118,49.0,95,4,4.21,NA,91,95.79,4.85 (4.41-5.28),1.43,3.45
astrocytes microglia 23,43,0.26,10.0,3,1,33.33,1.82 (NA-NA),2,66.67,NA,1.49,2.56
astrocytes 4,721,0.18,93.0,61,6,9.84,2.90 (1.31-4.48),55,90.16,2.97 (2.54-3.40),2.44,6.41
oligodendrocytes 0,1186,0.096,4.0,300,57,19.0,3.93 (3.72-4.15),243,81.0,3.75 (3.49-4.01),3.94,4.21
microglia 1,813,0.091,17.0,79,3,3.8,5.18 (4.29-6.07),76,96.2,3.01 (2.61-3.42),3.48,8.08
oligodendrocytes 3,357,0.133,75.0,127,13,10.24,3.86 (3.06-4.67),114,89.76,3.06 (2.72-3.41),4.12,4.25
oligodendrocytes 2,407,0.173,67.0,122,69,56.56,2.36 (2.08-2.65),53,43.44,5.57 (5.06-6.07),3.14,2.12
