tipo_celular,module_size,PBX1_MM,PBX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.342,84.0,15,5,33.33,5.86 (4.98-6.73),10,66.67,5.75 (4.72-6.78),1.98,2.51
T cells 18,282,0.139,40.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,222,0.232,62.0,98,7,7.14,4.12 (2.36-5.87),91,92.86,4.64 (4.23-5.06),3.02,2.62
oligodendrocyte progenitor cells 7,436,0.101,29.0,219,15,6.85,4.58 (3.82-5.34),204,93.15,5.28 (4.98-5.59),8.30,4.34
GABA neurons expressing GLU receptors 22,1069,0.197,73.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,489,0.164,64.0,42,5,11.9,5.65 (4.87-6.44),37,88.1,6.06 (5.41-6.71),3.11,3.23
da like neurons 11,191,0.458,87.0,93,10,10.75,5.21 (4.58-5.85),83,89.25,5.72 (5.27-6.18),4.90,4.04
GABA neurons expressing GABA receptors 13,200,0.179,68.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,586,0.259,60.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,228,0.164,36.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,1300,0.181,37.0,306,22,7.19,3.83 (2.97-4.69),284,92.81,5.24 (4.97-5.51),13.69,6.17
astrocytes 8,279,0.219,27.0,78,7,8.97,3.09 (2.15-4.03),71,91.03,4.46 (4.02-4.89),3.35,2.64
oligodendrocyte progenitor cells 12,254,0.253,41.0,37,6,16.22,3.50 (2.70-4.29),31,83.78,4.74 (4.07-5.40),2.41,2.48
oligodendrocytes 10,806,0.404,90.0,261,5,1.92,5.65 (4.87-6.44),256,98.08,4.33 (4.09-4.58),4.04,6.10
connective tissue cells 21,183,0.156,5.0,32,2,6.25,2.88 (-1.05-6.80),30,93.75,5.28 (4.66-5.89),1.92,2.72
astrocytes 15,418,0.613,99.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,313,0.201,44.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,307,0.299,100.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,141,0.358,86.0,30,6,20.0,5.44 (4.68-6.20),24,80.0,5.75 (4.55-6.94),3.94,4.07
astrocytes 4,220,0.176,59.0,63,19,30.16,4.35 (3.62-5.08),44,69.84,5.64 (4.89-6.39),4.15,2.92
oligodendrocytes 0,1186,0.165,82.0,300,9,3.0,3.06 (2.67-3.44),291,97.0,3.82 (3.61-4.03),4.06,4.16
microglia 1,214,0.246,70.0,227,1,0.44,4.85 (NA-NA),226,99.56,4.09 (3.85-4.32),2.42,6.14
oligodendrocytes 3,1003,0.153,86.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,348,0.218,59.0,114,15,13.16,4.44 (3.72-5.15),99,86.84,5.27 (4.80-5.74),8.00,3.85
