tipo_celular,module_size,CHORDC1_MM,CHORDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.343,100.0,71,4,5.63,1.39 (0.20-2.59),67,94.37,2.69 (2.26-3.11),1.71,3.69
T cells 18,477,0.429,100.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22),1.31,7.26
astrocytes 5,423,0.177,67.0,80,4,5.0,4.76 (0.65-8.86),76,95.0,3.34 (2.88-3.80),3.03,5.12
oligodendrocyte progenitor cells 7,666,0.597,99.0,127,10,7.87,2.90 (0.85-4.96),117,92.13,3.91 (3.59-4.23),4.19,5.98
GABA neurons expressing GLU receptors 22,487,0.149,20.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,637,0.055,4.0,91,8,8.79,2.72 (1.53-3.90),83,91.21,4.78 (4.24-5.33),3.68,3.00
da like neurons 11,1220,0.07,3.0,410,6,1.46,3.94 (0.58-7.30),404,98.54,4.25 (4.07-4.44),9.91,7.48
GABA neurons expressing GABA receptors 13,77,0.225,82.0,8,0,0.0,NA,8,100.0,3.16 (2.15-4.16),NA,1.77
endothelial cells 9,385,0.353,98.0,275,21,7.64,2.41 (1.40-3.43),254,92.36,4.08 (3.82-4.35),10.58,5.49
oligodendrocytes 20,271,0.216,66.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052,0.179,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.113,67.0,83,5,6.02,4.90 (1.91-7.90),78,93.98,3.15 (2.71-3.58),3.07,4.56
oligodendrocyte progenitor cells 12,3303,0.104,78.0,276,12,4.35,1.34 (0.99-1.70),264,95.65,3.67 (3.46-3.89),10.19,4.88
oligodendrocytes 10,2107,0.098,28.0,358,21,5.87,1.62 (1.22-2.02),337,94.13,4.04 (3.85-4.23),15.04,9.13
connective tissue cells 21,92,0.348,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.113,74.0,105,13,12.38,1.38 (1.00-1.75),92,87.62,3.50 (3.15-3.84),5.24,3.80
oligodendrocytes 16,121,0.218,55.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,518,0.088,24.0,122,6,4.92,2.64 (0.37-4.92),116,95.08,4.08 (3.69-4.47),3.23,3.50
astrocytes microglia 23,114,0.327,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.264,78.0,95,9,9.47,2.98 (0.55-5.41),86,90.53,3.40 (2.99-3.82),3.62,4.75
oligodendrocytes 0,613,0.266,97.0,127,7,5.51,2.54 (0.80-4.29),120,94.49,3.08 (2.65-3.50),4.13,6.40
microglia 1,958,0.313,100.0,290,16,5.52,2.51 (1.27-3.75),274,94.48,3.88 (3.65-4.11),4.08,5.05
oligodendrocytes 3,681,0.197,95.0,87,12,13.79,1.93 (1.14-2.73),75,86.21,2.70 (2.42-2.98),3.45,4.37
oligodendrocytes 2,921,0.235,100.0,200,3,1.5,2.03 (1.19-2.87),197,98.5,3.65 (3.38-3.92),5.39,3.43
