tipo_celular,module_size,HERC2_MM,HERC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.16,18.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624,0.24,94.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.09,7.0,166,32,19.28,2.77 (2.20-3.34),134,80.72,3.54 (3.27-3.82),7.26,3.90
oligodendrocyte progenitor cells 7,448,0.153,59.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,703,0.183,48.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,1247,0.142,56.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,204,0.284,83.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,65,0.251,86.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,658,0.523,99.0,120,13,10.83,3.04 (2.40-3.69),107,89.17,4.81 (4.48-5.13),4.33,3.57
oligodendrocytes 20,938,0.099,36.0,169,15,8.88,3.17 (2.24-4.10),154,91.12,3.51 (3.29-3.73),3.87,5.51
GABA like neurons 14,1300,0.196,45.0,306,20,6.54,2.68 (2.12-3.24),286,93.46,5.32 (5.06-5.58),4.89,6.83
astrocytes 8,1266,0.093,61.0,66,19,28.79,2.26 (1.56-2.96),47,71.21,3.71 (3.25-4.16),4.13,2.48
oligodendrocyte progenitor cells 12,103,0.457,54.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107,0.174,60.0,358,53,14.8,2.67 (2.24-3.10),305,85.2,4.10 (3.90-4.31),24.84,6.80
connective tissue cells 21,114,0.31,69.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,443,0.107,16.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09),2.35,1.77
oligodendrocytes 16,112,0.195,67.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,553,0.147,63.0,124,11,8.87,3.48 (2.20-4.76),113,91.13,4.24 (3.83-4.65),2.98,3.04
astrocytes microglia 23,253,0.314,85.0,47,3,6.38,0.94 (NA-NA),44,93.62,2.89 (2.57-3.22),2.14,3.15
astrocytes 4,752,0.144,36.0,96,7,7.29,4.95 (4.11-5.79),89,92.71,3.22 (2.89-3.56),2.86,4.43
oligodendrocytes 0,1186,0.137,37.0,300,5,1.67,2.81 (1.35-4.27),295,98.33,3.80 (3.59-4.01),3.52,4.17
microglia 1,1615,0.107,46.0,161,42,26.09,2.45 (1.95-2.96),119,73.91,3.58 (3.28-3.88),10.72,3.56
oligodendrocytes 3,357,0.169,86.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407,0.146,40.0,122,20,16.39,1.91 (1.34-2.47),102,83.61,3.71 (3.28-4.13),3.74,2.50
