tipo_celular,module_size,ATP5F1A_MM,ATP5F1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.188,59.0,140,16,11.43,3.93 (3.81-4.04),124,88.57,4.62 (4.12-5.11),3.16,3.63
T cells 18,282,0.236,76.0,241,36,14.94,3.59 (3.36-3.83),205,85.06,4.16 (3.86-4.47),4.91,4.24
astrocytes 5,228,0.215,70.0,266,78,29.32,3.18 (2.89-3.47),188,70.68,4.62 (4.37-4.86),6.95,4.16
oligodendrocyte progenitor cells 7,296,0.26,81.0,251,36,14.34,3.77 (3.53-4.00),215,85.66,4.14 (3.85-4.43),6.35,6.12
GABA neurons expressing GLU receptors 22,848,0.435,95.0,262,32,12.21,2.94 (2.48-3.39),230,87.79,4.37 (4.11-4.64),5.93,3.85
GLU like neurons 17,1316,0.243,98.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,1220,0.403,93.0,410,78,19.02,3.39 (3.17-3.61),332,80.98,4.51 (4.29-4.74),14.99,5.76
GABA neurons expressing GABA receptors 13,357,0.187,63.0,237,10,4.22,2.80 (2.28-3.32),227,95.78,4.49 (4.26-4.73),3.36,4.22
endothelial cells 9,338,0.254,80.0,191,11,5.76,3.56 (2.82-4.30),180,94.24,3.91 (3.67-4.14),3.52,9.50
oligodendrocytes 20,271,0.13,27.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.414,81.0,455,81,17.8,3.01 (2.71-3.32),374,82.2,4.72 (4.52-4.92),17.88,6.88
astrocytes 8,520,0.328,90.0,288,52,18.06,3.42 (3.12-3.72),236,81.94,4.37 (4.14-4.60),6.51,4.28
oligodendrocyte progenitor cells 12,3303,0.097,71.0,276,35,12.68,2.17 (1.85-2.49),241,87.32,3.82 (3.58-4.05),9.76,4.44
oligodendrocytes 10,806,0.37,87.0,261,45,17.24,3.42 (3.11-3.74),216,82.76,4.61 (4.33-4.89),4.36,6.42
connective tissue cells 21,101,0.415,77.0,116,36,31.03,3.25 (2.84-3.66),80,68.97,5.40 (4.91-5.90),3.27,3.20
astrocytes 15,1768,0.109,71.0,105,20,19.05,1.69 (1.34-2.04),85,80.95,3.61 (3.24-3.97),7.48,3.16
oligodendrocytes 16,313,0.418,89.0,291,31,10.65,2.99 (2.64-3.33),260,89.35,4.52 (4.28-4.76),3.30,3.88
da neurons 6,300,0.304,87.0,159,2,1.26,4.17 (NA-NA),157,98.74,4.37 (4.05-4.68),2.12,3.75
astrocytes microglia 23,45,0.292,41.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,157,0.183,53.0,178,69,38.76,3.33 (3.02-3.63),109,61.24,4.84 (4.48-5.20),5.90,3.61
oligodendrocytes 0,116,0.113,26.0,169,23,13.61,3.44 (2.97-3.92),146,86.39,4.42 (4.09-4.75),3.46,6.96
microglia 1,214,0.276,77.0,227,64,28.19,3.64 (3.43-3.86),163,71.81,4.32 (3.99-4.65),9.69,4.72
oligodendrocytes 3,457,0.219,85.0,345,29,8.41,3.16 (2.79-3.52),316,91.59,4.38 (4.16-4.60),9.73,5.32
oligodendrocytes 2,99,0.24,48.0,116,17,14.66,3.60 (3.05-4.16),99,85.34,4.02 (3.68-4.36),2.99,7.96
