tipo_celular,module_size,PDCD6IP_MM,PDCD6IP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.159,42.0,15,3,20.0,4.89 (4.05-5.74),12,80.0,6.13 (5.32-6.94),2.81,2.22
T cells 18,727,0.142,49.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.144,69.0,166,20,12.05,2.64 (1.90-3.38),146,87.95,3.52 (3.26-3.78),4.52,4.55
oligodendrocyte progenitor cells 7,4285,0.132,45.0,353,46,13.03,2.74 (2.24-3.24),307,86.97,4.12 (3.94-4.31),17.65,6.63
GABA neurons expressing GLU receptors 22,400,0.134,15.0,24,12,50.0,1.67 (0.92-2.41),12,50.0,2.64 (2.04-3.25),4.64,2.52
GLU like neurons 17,229,0.214,61.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,289,0.218,67.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,357,0.167,52.0,237,8,3.38,4.78 (3.68-5.88),229,96.62,4.39 (4.15-4.63),4.66,4.17
endothelial cells 9,658,0.139,26.0,120,10,8.33,4.48 (3.44-5.53),110,91.67,4.62 (4.29-4.95),2.83,3.73
oligodendrocytes 20,298,0.161,57.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.176,33.0,455,50,10.99,3.07 (2.58-3.57),405,89.01,4.54 (4.35-4.73),17.87,7.72
astrocytes 8,354,0.12,49.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.09,64.0,276,36,13.04,2.80 (2.33-3.27),240,86.96,3.68 (3.45-3.92),7.00,4.83
oligodendrocytes 10,2107,0.114,35.0,358,48,13.41,2.62 (2.10-3.14),310,86.59,4.13 (3.95-4.32),15.44,8.55
connective tissue cells 21,85,0.231,17.0,3,1,33.33,NA,2,66.67,1.74 (1.73-1.75),2.59,4.32
astrocytes 15,1768,0.115,75.0,105,20,19.05,2.85 (1.98-3.71),85,80.95,3.31 (2.95-3.66),5.31,3.66
oligodendrocytes 16,158,0.148,14.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,518,0.163,87.0,122,30,24.59,2.32 (1.87-2.77),92,75.41,4.64 (4.21-5.06),4.28,3.22
astrocytes microglia 23,255,0.306,84.0,57,4,7.02,3.02 (2.26-3.79),53,92.98,2.63 (2.25-3.01),2.38,3.40
astrocytes 4,752,0.133,22.0,96,8,8.33,3.38 (2.49-4.27),88,91.67,3.28 (2.92-3.63),2.66,4.47
oligodendrocytes 0,1186,0.133,31.0,300,14,4.67,4.18 (3.40-4.96),286,95.33,3.77 (3.56-3.98),3.31,4.20
microglia 1,1615,0.098,32.0,161,23,14.29,2.46 (1.54-3.38),138,85.71,3.45 (3.19-3.70),10.38,4.61
oligodendrocytes 3,1003,0.095,49.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.142,38.0,84,12,14.29,2.56 (1.74-3.37),72,85.71,2.72 (2.35-3.09),2.72,3.51
