tipo_celular,module_size,RPS3_MM,RPS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.456,85.0,98,40,40.82,3.07 (2.46-3.68),58,59.18,3.31 (2.63-3.99),23.68,6.41
T cells 18,506,0.607,99.0,225,85,37.78,3.41 (3.09-3.72),140,62.22,3.77 (3.40-4.14),13.01,4.80
astrocytes 5,328,0.178,56.0,128,20,15.62,4.60 (3.95-5.25),108,84.38,3.31 (2.94-3.68),10.42,6.08
oligodendrocyte progenitor cells 7,448,0.347,94.0,108,10,9.26,3.62 (3.15-4.09),98,90.74,3.20 (2.71-3.70),34.26,15.37
GABA neurons expressing GLU receptors 22,400,0.132,13.0,24,15,62.5,1.46 (0.97-1.96),9,37.5,3.31 (2.82-3.81),4.59,1.90
GLU like neurons 17,685,0.179,70.0,135,76,56.3,2.91 (2.58-3.24),59,43.7,3.57 (3.02-4.13),4.57,2.69
da like neurons 11,1220,0.117,23.0,410,67,16.34,3.68 (3.29-4.08),343,83.66,4.36 (4.15-4.57),11.75,6.69
GABA neurons expressing GABA receptors 13,417,0.195,70.0,213,67,31.46,2.79 (2.35-3.22),146,68.54,4.28 (4.03-4.52),12.53,8.38
endothelial cells 9,916,0.582,98.0,302,32,10.6,3.44 (2.79-4.09),270,89.4,4.06 (3.82-4.30),23.63,9.12
oligodendrocytes 20,938,0.129,52.0,169,51,30.18,3.41 (2.98-3.84),118,69.82,3.51 (3.26-3.77),9.11,3.74
GABA like neurons 14,2402,0.432,83.0,455,89,19.56,3.05 (2.66-3.43),366,80.44,4.71 (4.52-4.90),17.20,6.80
astrocytes 8,603,0.155,82.0,89,24,26.97,2.64 (2.11-3.16),65,73.03,2.83 (2.36-3.29),7.93,5.35
oligodendrocyte progenitor cells 12,1049,0.43,97.0,235,37,15.74,3.98 (3.37-4.59),198,84.26,3.80 (3.54-4.05),15.77,6.09
oligodendrocytes 10,483,0.581,100.0,129,24,18.6,4.26 (3.70-4.83),105,81.4,3.24 (2.79-3.69),26.54,17.51
connective tissue cells 21,301,0.468,74.0,158,28,17.72,3.25 (2.74-3.75),130,82.28,4.58 (4.15-5.02),19.87,4.31
astrocytes 15,1768,0.054,17.0,105,32,30.48,1.94 (1.58-2.29),73,69.52,3.81 (3.43-4.20),5.95,3.12
oligodendrocytes 16,96,0.228,51.0,102,46,45.1,2.41 (2.04-2.78),56,54.9,4.21 (3.82-4.60),12.10,4.02
da neurons 6,729,0.184,66.0,182,29,15.93,3.19 (2.48-3.89),153,84.07,3.71 (3.44-3.98),18.59,6.61
astrocytes microglia 23,137,0.458,83.0,188,72,38.3,3.77 (3.31-4.22),116,61.7,4.92 (4.45-5.39),12.24,3.98
astrocytes 4,1807,0.128,21.0,104,35,33.65,2.03 (1.67-2.38),69,66.35,3.34 (3.00-3.68),9.21,3.46
oligodendrocytes 0,546,0.302,90.0,252,78,30.95,3.06 (2.61-3.52),174,69.05,4.59 (4.34-4.85),15.74,4.83
microglia 1,406,0.579,97.0,278,39,14.03,4.95 (4.55-5.34),239,85.97,4.24 (3.92-4.55),14.43,5.48
oligodendrocytes 3,303,0.255,88.0,154,15,9.74,3.95 (3.32-4.58),139,90.26,3.59 (3.24-3.93),42.87,8.49
oligodendrocytes 2,526,0.407,84.0,213,23,10.8,4.12 (3.38-4.87),190,89.2,3.96 (3.67-4.26),22.00,6.23
