tipo_celular,module_size,EXOC3_MM,EXOC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.116,21.0,71,3,4.23,1.50 (0.15-2.84),68,95.77,2.68 (2.26-3.10),1.83,3.65
T cells 18,349,0.065,5.0,68,6,8.82,2.64 (1.50-3.77),62,91.18,4.60 (4.01-5.18),3.38,3.31
astrocytes 5,1656,0.108,37.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48),3.06,5.00
oligodendrocyte progenitor cells 7,4285,0.122,30.0,353,28,7.93,2.20 (1.67-2.73),325,92.07,4.08 (3.90-4.27),21.47,6.91
GABA neurons expressing GLU receptors 22,567,0.356,87.0,16,2,12.5,2.34 (1.57-3.12),14,87.5,1.91 (1.13-2.69),1.65,3.92
GLU like neurons 17,1316,0.096,25.0,101,2,1.98,3.49 (2.39-4.58),99,98.02,3.04 (2.68-3.40),1.70,3.08
da like neurons 11,1220,0.105,18.0,410,19,4.63,2.62 (2.11-3.13),391,95.37,4.34 (4.15-4.53),11.21,7.34
GABA neurons expressing GABA receptors 13,86,0.143,30.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,338,0.064,8.0,191,7,3.66,3.25 (2.59-3.91),184,96.34,3.91 (3.68-4.14),4.07,9.35
oligodendrocytes 20,938,0.059,17.0,169,14,8.28,2.44 (1.76-3.11),155,91.72,3.58 (3.35-3.80),4.76,5.42
GABA like neurons 14,2402,0.137,20.0,455,24,5.27,2.29 (1.67-2.92),431,94.73,4.49 (4.30-4.67),24.06,7.99
astrocytes 8,727,0.107,49.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.097,71.0,276,14,5.07,2.72 (1.95-3.48),262,94.93,3.60 (3.37-3.82),7.86,4.96
oligodendrocytes 10,735,0.147,75.0,277,1,0.36,4.70 (NA-NA),276,99.64,3.89 (3.65-4.13),1.84,8.97
connective tissue cells 21,111,0.404,98.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401,0.102,65.0,96,2,2.08,2.00 (NA-NA),94,97.92,3.63 (3.18-4.09),1.41,3.85
oligodendrocytes 16,156,0.193,46.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,409,0.061,5.0,235,2,0.85,NA,233,99.15,3.97 (3.72-4.22),5.67,4.40
astrocytes microglia 23,157,0.258,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.166,86.0,104,7,6.73,1.40 (0.55-2.26),97,93.27,2.98 (2.69-3.26),11.41,4.96
oligodendrocytes 0,2078,0.104,29.0,238,5,2.1,2.38 (1.14-3.63),233,97.9,3.67 (3.45-3.89),8.55,4.95
microglia 1,958,0.075,5.0,290,6,2.07,2.05 (1.69-2.41),284,97.93,3.85 (3.62-4.08),4.90,5.00
oligodendrocytes 3,743,0.042,3.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630,0.151,69.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
