tipo_celular,module_size,ZC3H14_MM,ZC3H14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.092,8.0,102,32,31.37,2.83 (2.29-3.37),70,68.63,3.83 (3.38-4.28),3.71,2.72
T cells 18,477,0.115,19.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.146,71.0,166,44,26.51,2.79 (2.31-3.27),122,73.49,3.65 (3.37-3.94),5.92,4.06
oligodendrocyte progenitor cells 7,4285,0.153,77.0,353,60,17.0,2.50 (2.08-2.92),293,83.0,4.27 (4.09-4.44),20.75,5.47
GABA neurons expressing GLU receptors 22,1069,0.118,18.0,37,3,8.11,2.03 (1.31-2.75),34,91.89,2.17 (1.67-2.67),2.49,3.16
GLU like neurons 17,795,0.09,23.0,80,3,3.75,7.00 (7.00-7.00),77,96.25,5.63 (5.21-6.06),5.99,2.90
da like neurons 11,71,0.058,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.234,94.0,8,2,25.0,0.95 (NA-NA),6,75.0,3.60 (2.98-4.21),2.14,1.64
endothelial cells 9,1653,0.148,66.0,297,1,0.34,5.34 (NA-NA),296,99.66,3.67 (3.46-3.87),2.09,5.53
oligodendrocytes 20,233,0.148,26.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.125,38.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65),1.53,8.67
astrocytes 8,218,0.049,23.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.086,59.0,276,43,15.58,2.32 (1.91-2.73),233,84.42,3.85 (3.62-4.08),10.50,4.12
oligodendrocytes 10,2107,0.047,5.0,358,64,17.88,2.46 (2.06-2.87),294,82.12,4.29 (4.10-4.47),25.01,6.09
connective tissue cells 21,84,0.31,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,367,0.179,73.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,90,0.152,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.066,4.0,138,19,13.77,2.75 (1.86-3.64),119,86.23,5.15 (4.79-5.52),3.12,2.67
astrocytes microglia 23,110,0.304,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.17,83.0,61,1,1.64,3.05 (NA-NA),60,98.36,2.96 (2.55-3.38),1.48,6.10
oligodendrocytes 0,1186,0.15,60.0,300,4,1.33,3.79 (2.84-4.74),296,98.67,3.79 (3.58-4.00),10.64,4.07
microglia 1,1615,0.134,80.0,161,44,27.33,1.87 (1.53-2.22),117,72.67,3.93 (3.66-4.20),10.27,3.61
oligodendrocytes 3,681,0.104,59.0,87,40,45.98,2.12 (1.79-2.46),47,54.02,3.02 (2.64-3.40),5.40,3.25
oligodendrocytes 2,921,0.155,79.0,200,14,7.0,4.48 (3.61-5.36),186,93.0,3.55 (3.28-3.83),5.57,3.30
