tipo_celular,module_size,MICU1_MM,MICU1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.133,32.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282,0.158,36.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141,0.083,3.0,166,11,6.63,2.56 (1.47-3.65),155,93.37,3.46 (3.21-3.72),7.84,4.32
oligodendrocyte progenitor cells 7,4285,0.094,6.0,353,23,6.52,1.59 (1.19-1.99),330,93.48,4.10 (3.92-4.28),28.68,6.63
GABA neurons expressing GLU receptors 22,823,0.09,5.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,489,0.342,94.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,172,0.303,72.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,265,0.153,47.0,78,6,7.69,3.07 (2.16-3.98),72,92.31,4.50 (4.07-4.94),4.34,4.26
endothelial cells 9,1653,0.147,65.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,250,0.143,30.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300,0.192,43.0,306,27,8.82,2.97 (2.37-3.58),279,91.18,5.40 (5.14-5.66),4.52,6.92
astrocytes 8,771,0.062,19.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.091,41.0,32,8,25.0,0.92 (0.44-1.39),24,75.0,4.18 (3.37-4.99),3.85,2.18
oligodendrocytes 10,2107,0.063,10.0,358,21,5.87,1.37 (0.94-1.79),337,94.13,4.07 (3.89-4.26),29.45,8.23
connective tissue cells 21,93,0.262,41.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,443,0.141,40.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,155,0.19,34.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,409,0.137,57.0,235,15,6.38,3.01 (2.35-3.66),220,93.62,4.07 (3.81-4.33),8.03,4.17
astrocytes microglia 23,121,0.239,10.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,721,0.109,4.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,1186,0.155,67.0,300,4,1.33,2.72 (2.13-3.31),296,98.67,3.81 (3.60-4.02),2.97,4.17
microglia 1,346,0.114,24.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,1003,0.077,30.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,407,0.127,19.0,122,13,10.66,1.09 (0.65-1.53),109,89.34,3.68 (3.29-4.07),3.24,2.64
