tipo_celular,module_size,MEGF9_MM,MEGF9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.296,88.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,282,0.191,64.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,118,0.255,81.0,8,2,25.0,7.13 (4.87-9.39),6,75.0,3.19 (1.61-4.78),1.54,2.16
oligodendrocyte progenitor cells 7,666,0.257,86.0,127,5,3.94,1.81 (0.70-2.91),122,96.06,3.96 (3.62-4.29),5.00,5.87
GABA neurons expressing GLU receptors 22,599,0.235,64.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489,0.134,47.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,145,0.346,81.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,288,0.164,47.0,93,7,7.53,2.54 (1.13-3.95),86,92.47,5.43 (4.95-5.91),3.43,3.99
endothelial cells 9,450,0.22,54.0,74,4,5.41,4.21 (2.56-5.85),70,94.59,5.58 (5.00-6.15),3.33,3.65
oligodendrocytes 20,358,0.159,53.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052,0.183,84.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,279,0.185,16.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,3303,0.128,93.0,276,8,2.9,2.39 (1.28-3.50),268,97.1,3.59 (3.37-3.81),5.02,5.11
oligodendrocytes 10,1277,0.059,17.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,136,0.229,19.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA),2.42,1.69
astrocytes 15,268,0.348,96.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,112,0.167,46.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,307,0.188,88.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,166,0.343,72.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255,0.216,75.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32),1.35,2.42
oligodendrocytes 0,1186,0.157,69.0,300,6,2.0,3.82 (2.85-4.79),294,98.0,3.79 (3.58-4.00),4.28,4.15
microglia 1,1615,0.084,14.0,161,8,4.97,1.42 (0.45-2.39),153,95.03,3.38 (3.11-3.64),8.58,5.27
oligodendrocytes 3,639,0.153,83.0,15,3,20.0,1.15 (0.02-2.28),12,80.0,3.96 (2.42-5.50),3.06,2.01
oligodendrocytes 2,348,0.204,53.0,114,9,7.89,5.40 (4.48-6.31),105,92.11,5.08 (4.63-5.53),3.35,4.48
