tipo_celular,module_size,SAMD8_MM,SAMD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.198,49.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,727,0.193,84.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656,0.105,33.0,136,9,6.62,3.42 (2.41-4.42),127,93.38,3.19 (2.91-3.48),4.69,5.01
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,29,8.22,1.96 (1.42-2.50),324,91.78,4.11 (3.93-4.29),24.75,6.57
GABA neurons expressing GLU receptors 22,823,0.238,83.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316,0.132,57.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42),2.52,3.06
da like neurons 11,172,0.161,28.0,8,1,12.5,NA,7,87.5,3.69 (3.52-3.86),1.30,3.09
GABA neurons expressing GABA receptors 13,93,0.108,10.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,385,0.09,36.0,275,18,6.55,1.40 (0.97-1.82),257,93.45,4.22 (3.97-4.47),11.81,5.47
oligodendrocytes 20,938,0.059,17.0,169,9,5.33,2.37 (1.55-3.19),160,94.67,3.56 (3.33-3.78),4.26,5.43
GABA like neurons 14,2090,0.074,4.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35),3.87,10.68
astrocytes 8,577,0.034,6.0,83,5,6.02,2.20 (1.25-3.15),78,93.98,3.34 (2.86-3.81),2.35,4.61
oligodendrocyte progenitor cells 12,3303,0.108,81.0,276,23,8.33,2.60 (1.99-3.21),253,91.67,3.66 (3.43-3.89),7.36,4.91
oligodendrocytes 10,806,0.034,3.0,261,9,3.45,3.25 (2.44-4.06),252,96.55,4.42 (4.17-4.67),6.88,6.04
connective tissue cells 21,142,0.3,39.0,55,6,10.91,1.32 (0.31-2.33),49,89.09,3.99 (3.09-4.89),2.56,3.38
astrocytes 15,458,0.06,26.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,61,0.224,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.068,4.0,124,5,4.03,2.76 (1.55-3.98),119,95.97,4.27 (3.86-4.67),2.39,3.06
astrocytes microglia 23,125,0.245,10.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,787,0.132,18.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,309,0.098,13.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480,0.127,16.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,639,0.074,31.0,15,8,53.33,2.31 (0.74-3.88),7,46.67,4.92 (3.00-6.83),2.64,1.73
oligodendrocytes 2,347,0.181,44.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
