tipo_celular,module_size,CUL1_MM,CUL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.106,1.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,727,0.144,51.0,49,6,12.24,4.54 (3.80-5.28),43,87.76,2.16 (1.80-2.52),4.17,6.53
astrocytes 5,1141,0.106,18.0,166,33,19.88,2.93 (2.45-3.41),133,80.12,3.53 (3.24-3.82),7.73,3.76
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,48,13.6,2.65 (2.22-3.08),305,86.4,4.14 (3.95-4.33),25.80,5.27
GABA neurons expressing GLU receptors 22,487,0.272,69.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316,0.101,30.0,101,6,5.94,3.66 (2.84-4.48),95,94.06,3.02 (2.66-3.39),2.85,3.07
da like neurons 11,140,0.108,13.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,357,0.075,3.0,237,2,0.84,3.34 (NA-NA),235,99.16,4.41 (4.18-4.65),5.15,4.18
endothelial cells 9,1653,0.149,67.0,297,18,6.06,4.13 (3.71-4.56),279,93.94,3.64 (3.43-3.86),7.66,5.38
oligodendrocytes 20,348,0.118,47.0,33,2,6.06,3.07 (2.93-3.20),31,93.94,2.71 (2.19-3.23),2.26,3.45
GABA like neurons 14,3052,0.206,94.0,125,4,3.2,3.54 (2.65-4.43),121,96.8,3.35 (3.01-3.68),5.03,8.73
astrocytes 8,283,0.182,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708,0.091,38.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.158,54.0,358,58,16.2,2.60 (2.22-2.98),300,83.8,4.19 (3.99-4.39),23.73,6.72
connective tissue cells 21,111,0.198,7.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1768,0.077,40.0,105,29,27.62,2.74 (2.26-3.22),76,72.38,3.41 (2.99-3.84),7.14,2.77
oligodendrocytes 16,151,0.145,16.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,518,0.131,71.0,122,19,15.57,2.45 (1.76-3.15),103,84.43,4.38 (3.96-4.80),3.55,3.47
astrocytes microglia 23,253,0.253,49.0,47,4,8.51,3.09 (1.68-4.50),43,91.49,2.82 (2.48-3.16),2.31,3.15
astrocytes 4,721,0.138,25.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25),3.18,6.39
oligodendrocytes 0,1186,0.16,75.0,300,13,4.33,3.65 (3.23-4.06),287,95.67,3.80 (3.59-4.02),3.55,4.18
microglia 1,813,0.193,92.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.098,53.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.133,42.0,200,4,2.0,3.32 (2.24-4.41),196,98.0,3.63 (3.36-3.90),6.69,3.40
