tipo_celular,module_size,AVL9_MM,AVL9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.129,30.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,727,0.193,84.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.122,35.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),8.68,4.50
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,9,2.55,0.99 (0.27-1.70),344,97.45,3.99 (3.81-4.17),45.95,7.07
GABA neurons expressing GLU receptors 22,714,0.311,93.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,300,0.174,36.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,140,0.283,68.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,288,0.126,22.0,93,2,2.15,4.80 (4.77-4.83),91,97.85,5.16 (4.65-5.67),1.98,3.99
endothelial cells 9,1653,0.145,64.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,298,0.053,18.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052,0.1,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283,0.214,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.151,99.0,276,2,0.72,2.81 (1.69-3.93),274,99.28,3.55 (3.33-3.77),3.91,5.12
oligodendrocytes 10,2107,0.187,65.0,358,8,2.23,0.83 (0.10-1.56),350,97.77,3.95 (3.77-4.14),42.54,8.72
connective tissue cells 21,111,0.211,12.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401,0.126,80.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,85,0.16,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.129,52.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,141,0.198,16.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,752,0.145,37.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.147,54.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.098,31.0,161,7,4.35,0.47 (0.28-0.65),154,95.65,3.43 (3.17-3.69),19.23,4.80
oligodendrocytes 3,1003,0.1,54.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.162,61.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
