tipo_celular,module_size,BOD1L1_MM,BOD1L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.184,33.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610,0.092,11.0,98,24,24.49,1.58 (1.17-2.00),74,75.51,3.69 (3.39-4.00),8.33,2.65
astrocytes 5,1141,0.165,88.0,166,19,11.45,1.86 (1.39-2.33),147,88.55,3.64 (3.38-3.89),8.88,3.99
oligodendrocyte progenitor cells 7,4285,0.103,11.0,353,28,7.93,1.59 (1.19-1.99),325,92.07,4.13 (3.96-4.31),36.22,5.64
GABA neurons expressing GLU receptors 22,567,0.08,5.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247,0.212,87.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,153,0.137,24.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,288,0.069,0.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,1653,0.072,8.0,297,1,0.34,3.04 (NA-NA),296,99.66,3.68 (3.47-3.88),10.37,5.50
oligodendrocytes 20,233,0.167,37.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2090,0.188,73.0,74,3,4.05,1.48 (1.39-1.57),71,95.95,2.99 (2.61-3.37),3.26,10.81
astrocytes 8,727,0.149,73.0,29,2,6.9,2.49 (1.16-3.83),27,93.1,2.35 (1.83-2.88),3.46,3.55
oligodendrocyte progenitor cells 12,3303,0.117,88.0,276,21,7.61,1.95 (1.55-2.36),255,92.39,3.71 (3.48-3.93),17.55,4.09
oligodendrocytes 10,1277,0.075,27.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,103,0.238,24.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768,0.098,61.0,105,14,13.33,1.58 (1.10-2.06),91,86.67,3.49 (3.14-3.84),9.02,3.20
oligodendrocytes 16,94,0.187,37.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,518,0.132,71.0,122,6,4.92,0.73 (0.23-1.23),116,95.08,4.21 (3.84-4.59),2.65,3.53
astrocytes microglia 23,190,0.269,52.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.142,33.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.145,51.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.123,68.0,161,28,17.39,1.73 (1.26-2.20),133,82.61,3.67 (3.40-3.94),14.55,3.51
oligodendrocytes 3,357,0.337,99.0,127,2,1.57,NA,125,98.43,3.12 (2.79-3.45),1.75,4.28
oligodendrocytes 2,407,0.16,56.0,122,18,14.75,1.44 (0.99-1.89),104,85.25,3.77 (3.36-4.17),3.85,2.50
