tipo_celular,module_size,ANXA7_MM,ANXA7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.223,66.0,102,23,22.55,2.61 (1.96-3.25),79,77.45,3.78 (3.36-4.19),3.81,2.81
T cells 18,282,0.131,15.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34),1.57,5.72
astrocytes 5,1141,0.1,14.0,166,19,11.45,2.29 (1.68-2.90),147,88.55,3.57 (3.30-3.83),4.64,4.54
oligodendrocyte progenitor cells 7,4285,0.129,41.0,353,36,10.2,2.10 (1.62-2.58),317,89.8,4.16 (3.98-4.34),20.63,6.64
GABA neurons expressing GLU receptors 22,703,0.202,60.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,1316,0.1,29.0,101,2,1.98,5.98 (5.98-5.98),99,98.02,2.98 (2.63-3.32),5.68,3.00
da like neurons 11,172,0.207,44.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,265,0.117,24.0,78,11,14.1,3.57 (3.31-3.83),67,85.9,4.50 (4.02-4.97),3.10,4.46
endothelial cells 9,338,0.113,41.0,191,7,3.66,4.36 (3.32-5.40),184,96.34,3.87 (3.64-4.09),4.30,9.34
oligodendrocytes 20,938,0.03,4.0,169,22,13.02,2.92 (2.25-3.60),147,86.98,3.55 (3.32-3.78),7.14,5.10
GABA like neurons 14,3052,0.135,46.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.07,38.0,83,3,3.61,2.18 (0.48-3.88),80,96.39,3.30 (2.84-3.76),1.89,4.57
oligodendrocyte progenitor cells 12,3303,0.08,52.0,276,22,7.97,1.87 (1.48-2.25),254,92.03,3.74 (3.51-3.96),7.90,4.87
oligodendrocytes 10,735,0.125,65.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,106,0.256,35.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768,0.07,33.0,105,23,21.9,2.41 (1.77-3.05),82,78.1,3.46 (3.09-3.84),4.33,3.88
oligodendrocytes 16,121,0.179,25.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,300,0.131,40.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67),2.05,3.74
astrocytes microglia 23,125,0.286,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.144,49.0,104,20,19.23,2.07 (1.51-2.64),84,80.77,3.07 (2.76-3.38),8.16,4.74
oligodendrocytes 0,2078,0.124,71.0,238,6,2.52,3.65 (1.88-5.43),232,97.48,3.64 (3.41-3.86),6.24,4.99
microglia 1,958,0.104,40.0,290,8,2.76,2.49 (1.45-3.53),282,97.24,3.86 (3.63-4.09),8.91,4.89
oligodendrocytes 3,854,0.059,14.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,528,0.127,10.0,175,23,13.14,3.56 (3.16-3.96),152,86.86,4.51 (4.12-4.91),11.78,3.54
