tipo_celular,module_size,DTNA_MM,DTNA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.203,44.0,140,6,4.29,2.23 (1.94-2.52),134,95.71,4.68 (4.40-4.96),5.36,3.46
T cells 18,282,0.284,96.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,322,0.268,82.0,58,4,6.9,2.00 (1.20-2.79),54,93.1,4.37 (3.95-4.78),2.19,2.33
oligodendrocyte progenitor cells 7,200,0.211,67.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,599,0.226,60.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.302,92.0,135,8,5.93,1.25 (0.94-1.56),127,94.07,3.34 (3.03-3.65),3.16,3.79
da like neurons 11,209,0.474,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.133,28.0,93,8,8.6,2.88 (1.52-4.24),85,91.4,5.43 (4.94-5.92),2.90,4.05
endothelial cells 9,450,0.269,64.0,74,1,1.35,5.30 (NA-NA),73,98.65,5.47 (4.90-6.03),4.43,3.63
oligodendrocytes 20,676,0.422,70.0,110,6,5.45,2.76 (1.10-4.42),104,94.55,5.18 (4.74-5.62),4.22,3.48
GABA like neurons 14,1300,0.112,11.0,306,22,7.19,3.16 (2.33-3.98),284,92.81,5.32 (5.06-5.58),9.99,6.45
astrocytes 8,140,0.528,100.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,411,0.234,62.0,103,6,5.83,4.47 (3.64-5.30),97,94.17,5.64 (5.23-6.04),6.86,2.85
oligodendrocytes 10,236,0.32,12.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,250,0.498,78.0,117,5,4.27,2.76 (1.56-3.96),112,95.73,5.54 (5.15-5.93),4.02,3.73
astrocytes 15,1401,0.089,54.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12),8.37,3.65
oligodendrocytes 16,149,0.263,65.0,70,6,8.57,5.45 (4.32-6.58),64,91.43,5.68 (5.16-6.20),2.82,3.36
da neurons 6,398,0.225,75.0,138,14,10.14,2.50 (1.58-3.42),124,89.86,5.14 (4.78-5.50),3.03,2.70
astrocytes microglia 23,91,0.274,57.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171,0.221,72.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,261,0.272,92.0,42,8,19.05,1.95 (0.93-2.96),34,80.95,4.77 (4.12-5.42),2.09,2.32
microglia 1,315,0.108,17.0,144,2,1.39,2.02 (1.23-2.82),142,98.61,4.50 (4.19-4.81),3.89,4.21
oligodendrocytes 3,116,0.252,33.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,804,0.285,100.0,84,3,3.57,1.76 (-0.74-4.27),81,96.43,2.73 (2.40-3.07),2.59,3.43
