tipo_celular,module_size,CELF2_MM,CELF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.198,59.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,727.0,0.166,67.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82),1.32,6.34
astrocytes 5,222.0,0.202,48.0,98,2,2.04,1.61 (-0.00-3.22),96,97.96,4.67 (4.27-5.07),3.42,2.63
oligodendrocyte progenitor cells 7,200.0,0.071,6.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,823.0,0.177,49.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24),1.78,3.58
GLU like neurons 17,795.0,0.2,76.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,82.0,0.499,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200.0,0.221,88.0,34,2,5.88,3.65 (NA-NA),32,94.12,3.90 (2.98-4.81),2.04,3.58
endothelial cells 9,1653.0,0.24,97.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.148,22.0,306,8,2.61,1.65 (0.74-2.56),298,97.39,5.23 (4.98-5.48),6.94,6.70
astrocytes 8,279.0,0.266,44.0,78,2,2.56,2.64 (2.22-3.06),76,97.44,4.37 (3.95-4.79),3.28,2.69
oligodendrocyte progenitor cells 12,411.0,0.338,79.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97),4.24,3.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.411,99.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418.0,0.418,84.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.152,73.0,95,4,4.21,4.71 (4.65-4.76),91,95.79,4.85 (4.39-5.32),2.27,3.41
astrocytes microglia 23,229.0,0.305,58.0,99,1,1.01,2.43 (NA-NA),98,98.99,4.32 (3.98-4.65),1.59,3.25
astrocytes 4,161.0,0.145,28.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.153,40.0,144,2,1.39,2.64 (2.22-3.06),142,98.61,4.49 (4.18-4.80),3.50,4.22
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
