tipo_celular,module_size,DENR_MM,DENR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.197,41.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282,0.084,12.0,241,2,0.83,4.10 (0.43-7.78),239,99.17,4.05 (3.80-4.31),2.84,4.35
astrocytes 5,1656,0.129,72.0,136,7,5.15,1.87 (1.10-2.64),129,94.85,3.29 (3.01-3.57),6.60,4.90
oligodendrocyte progenitor cells 7,4285,0.148,69.0,353,25,7.08,2.27 (1.67-2.87),328,92.92,4.04 (3.85-4.22),13.15,7.68
GABA neurons expressing GLU receptors 22,203,0.265,50.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,795,0.082,19.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,1220,0.113,21.0,410,14,3.41,3.53 (2.80-4.27),396,96.59,4.28 (4.09-4.48),10.49,7.41
GABA neurons expressing GABA receptors 13,65,0.146,40.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,338,0.094,28.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12),4.44,9.18
oligodendrocytes 20,322,0.12,49.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.29,64.0,455,24,5.27,2.80 (2.15-3.44),431,94.73,4.46 (4.27-4.65),15.04,8.49
astrocytes 8,260,0.082,22.0,4,1,25.0,1.95 (NA-NA),3,75.0,2.02 (-1.43-5.47),1.75,2.20
oligodendrocyte progenitor cells 12,411,0.028,3.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,806,0.134,41.0,261,2,0.77,3.06 (2.73-3.39),259,99.23,4.38 (4.13-4.62),3.90,6.08
connective tissue cells 21,136,0.267,40.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,443,0.157,55.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,156,0.167,27.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,228,0.102,55.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,109,0.222,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.153,54.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37),1.60,5.88
oligodendrocytes 0,2078,0.111,43.0,238,3,1.26,2.67 (-0.40-5.74),235,98.74,3.65 (3.43-3.87),7.47,4.99
microglia 1,1615,0.09,22.0,161,12,7.45,1.22 (0.90-1.54),149,92.55,3.48 (3.21-3.75),6.12,5.38
oligodendrocytes 3,457,0.061,15.0,345,8,2.32,3.15 (2.23-4.07),337,97.68,4.31 (4.10-4.52),4.05,5.73
oligodendrocytes 2,1630,0.136,39.0,154,7,4.55,5.81 (4.16-7.46),147,95.45,3.13 (2.88-3.38),2.50,3.64
