tipo_celular,module_size,PLEKHA5_MM,PLEKHA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.165,20.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,282,0.171,45.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,499,0.188,68.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,200,0.093,13.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,459,0.252,80.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41),NA,4.09
GLU like neurons 17,1247,0.121,40.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,191,0.455,85.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10),1.90,4.16
GABA neurons expressing GABA receptors 13,288,0.153,42.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,586,0.323,70.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,228,0.168,38.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,1300,0.222,58.0,306,3,0.98,2.25 (0.96-3.55),303,99.02,5.13 (4.87-5.40),3.75,6.74
astrocytes 8,260,0.372,99.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,138,0.412,24.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.158,55.0,358,15,4.19,1.58 (0.98-2.19),343,95.81,4.00 (3.81-4.19),51.70,7.63
connective tissue cells 21,114,0.282,65.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61),NA,2.12
astrocytes 15,1401,0.085,50.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,149,0.213,54.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398,0.124,38.0,138,6,4.35,2.02 (0.79-3.25),132,95.65,4.98 (4.61-5.34),3.11,2.72
astrocytes microglia 23,89,0.376,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161,0.223,71.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,309,0.139,56.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615,0.106,44.0,161,15,9.32,1.58 (0.98-2.19),146,90.68,3.49 (3.22-3.76),19.95,3.94
oligodendrocytes 3,94,0.208,83.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,347,0.148,23.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
