tipo_celular,module_size,RAB14_MM,RAB14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.169,29.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,477,0.154,44.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.119,55.0,136,8,5.88,3.30 (2.64-3.96),128,94.12,3.20 (2.92-3.49),3.50,5.08
oligodendrocyte progenitor cells 7,628,0.221,76.0,164,24,14.63,4.18 (3.67-4.69),140,85.37,4.07 (3.69-4.45),4.22,8.09
GABA neurons expressing GLU receptors 22,848,0.403,92.0,262,62,23.66,3.41 (3.06-3.77),200,76.34,4.42 (4.12-4.71),5.60,3.64
GLU like neurons 17,685,0.179,71.0,135,24,17.78,2.86 (1.98-3.73),111,82.22,3.24 (2.92-3.57),3.46,3.81
da like neurons 11,1220,0.226,64.0,410,66,16.1,3.68 (3.34-4.02),344,83.9,4.36 (4.15-4.58),9.33,7.17
GABA neurons expressing GABA receptors 13,266,0.105,17.0,118,2,1.69,3.01 (2.48-3.54),116,98.31,4.77 (4.42-5.13),2.41,4.02
endothelial cells 9,559,0.156,49.0,155,7,4.52,4.84 (3.70-5.98),148,95.48,4.31 (3.94-4.69),2.42,4.42
oligodendrocytes 20,938,0.142,58.0,169,31,18.34,3.13 (2.67-3.59),138,81.66,3.55 (3.31-3.80),5.63,5.30
GABA like neurons 14,2402,0.307,67.0,455,72,15.82,3.47 (3.08-3.87),383,84.18,4.52 (4.32-4.73),14.69,7.73
astrocytes 8,520,0.128,55.0,288,62,21.53,3.84 (3.47-4.21),226,78.47,4.27 (4.04-4.51),8.78,3.56
oligodendrocyte progenitor cells 12,1049,0.134,70.0,235,23,9.79,3.80 (3.39-4.21),212,90.21,3.83 (3.57-4.08),6.81,7.70
oligodendrocytes 10,806,0.175,55.0,261,52,19.92,3.59 (3.19-3.99),209,80.08,4.55 (4.27-4.82),6.01,6.08
connective tissue cells 21,93,0.217,20.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,458,0.083,43.0,36,5,13.89,4.21 (3.39-5.03),31,86.11,3.70 (2.46-4.94),2.00,2.67
oligodendrocytes 16,104,0.159,9.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,409,0.113,43.0,235,13,5.53,2.97 (2.09-3.85),222,94.47,4.03 (3.77-4.28),4.07,4.43
astrocytes microglia 23,99,0.206,8.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78),2.73,5.38
astrocytes 4,1807,0.153,67.0,104,17,16.35,2.80 (2.12-3.47),87,83.65,2.88 (2.57-3.19),6.37,5.21
oligodendrocytes 0,613,0.193,87.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46),3.22,6.46
microglia 1,958,0.115,57.0,290,20,6.9,3.18 (2.46-3.90),270,93.1,3.87 (3.63-4.11),5.50,4.96
oligodendrocytes 3,743,0.149,93.0,76,4,5.26,3.72 (3.60-3.85),72,94.74,3.13 (2.72-3.55),5.21,7.40
oligodendrocytes 2,528,0.31,86.0,175,42,24.0,3.85 (3.42-4.28),133,76.0,4.56 (4.12-5.00),8.74,3.32
