tipo_celular,module_size,HNRNPC_MM,HNRNPC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.225,80.0,97,4,4.12,4.99 (4.70-5.28),93,95.88,2.98 (2.58-3.38),3.00,4.99
T cells 18,388,0.135,41.0,84,5,5.95,2.26 (2.13-2.40),79,94.05,3.01 (2.67-3.35),2.73,4.42
astrocytes 5,1141,0.158,84.0,166,57,34.34,2.97 (2.57-3.36),109,65.66,3.68 (3.36-3.99),5.13,4.25
oligodendrocyte progenitor cells 7,448,0.141,50.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,400,0.242,74.0,24,11,45.83,1.72 (0.74-2.70),13,54.17,2.53 (2.15-2.90),4.92,2.45
GLU like neurons 17,685,0.157,64.0,135,42,31.11,2.33 (1.94-2.72),93,68.89,3.62 (3.24-4.00),4.29,3.50
da like neurons 11,853,0.095,23.0,133,61,45.86,2.43 (2.11-2.75),72,54.14,4.12 (3.68-4.57),5.02,3.43
GABA neurons expressing GABA receptors 13,73,0.183,66.0,16,4,25.0,3.51 (2.93-4.09),12,75.0,1.75 (0.59-2.92),1.65,11.83
endothelial cells 9,412,0.164,44.0,141,6,4.26,2.30 (0.84-3.76),135,95.74,2.99 (2.75-3.23),4.61,6.92
oligodendrocytes 20,330,0.155,43.0,36,19,52.78,2.08 (1.81-2.36),17,47.22,1.71 (1.01-2.42),2.60,3.71
GABA like neurons 14,3052,0.192,89.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65),1.53,8.67
astrocytes 8,577,0.081,47.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,143,0.442,58.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.348,94.0,358,103,28.77,2.79 (2.48-3.09),255,71.23,4.51 (4.32-4.70),19.33,5.49
connective tissue cells 21,100,0.363,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.169,96.0,105,40,38.1,2.65 (2.18-3.12),65,61.9,3.59 (3.15-4.03),5.50,3.04
oligodendrocytes 16,88,0.155,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.067,4.0,138,22,15.94,2.68 (2.04-3.33),116,84.06,5.32 (4.96-5.68),2.60,2.76
astrocytes microglia 23,327,0.332,51.0,120,25,20.83,2.11 (1.53-2.70),95,79.17,4.02 (3.73-4.31),3.79,2.53
astrocytes 4,752,0.144,35.0,96,22,22.92,3.35 (2.86-3.84),74,77.08,3.27 (2.85-3.69),2.60,4.83
oligodendrocytes 0,1186,0.169,86.0,300,16,5.33,3.97 (3.32-4.62),284,94.67,3.78 (3.56-3.99),6.06,4.05
microglia 1,480,0.192,51.0,163,2,1.23,5.21 (1.69-8.73),161,98.77,3.69 (3.42-3.95),1.87,5.21
oligodendrocytes 3,1003,0.106,60.0,111,14,12.61,5.18 (4.44-5.92),97,87.39,3.00 (2.66-3.34),2.54,4.48
oligodendrocytes 2,804,0.137,32.0,84,13,15.48,2.40 (1.54-3.26),71,84.52,2.76 (2.40-3.12),2.59,3.54
