tipo_celular,module_size,CAPRIN1_MM,CAPRIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.14,15.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,393,0.164,58.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,1656,0.096,21.0,136,7,5.15,2.01 (0.98-3.03),129,94.85,3.28 (3.01-3.56),6.84,4.89
oligodendrocyte progenitor cells 7,4285,0.179,97.0,353,82,23.23,3.01 (2.64-3.38),271,76.77,4.24 (4.04-4.43),11.80,6.93
GABA neurons expressing GLU receptors 22,703,0.105,10.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,300,0.156,21.0,16,1,6.25,NA,15,93.75,2.08 (1.23-2.93),2.19,2.49
da like neurons 11,168,0.104,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80,0.122,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559,0.072,10.0,155,3,1.94,3.57 (2.77-4.36),152,98.06,4.36 (3.99-4.73),2.40,4.37
oligodendrocytes 20,275,0.137,24.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.117,14.0,455,35,7.69,2.63 (2.05-3.22),420,92.31,4.52 (4.33-4.71),15.13,8.31
astrocytes 8,520,0.063,21.0,288,15,5.21,3.54 (2.68-4.41),273,94.79,4.22 (4.01-4.42),3.22,4.77
oligodendrocyte progenitor cells 12,708,0.092,41.0,32,10,31.25,2.47 (1.01-3.93),22,68.75,3.68 (2.74-4.61),3.18,2.33
oligodendrocytes 10,483,0.149,61.0,129,3,2.33,4.27 (2.36-6.17),126,97.67,3.40 (3.00-3.80),20.30,19.16
connective tissue cells 21,139,0.328,64.0,4,1,25.0,5.34 (NA-NA),3,75.0,2.91 (2.30-3.51),1.78,1.68
astrocytes 15,1768,0.069,32.0,105,30,28.57,2.71 (2.08-3.34),75,71.43,3.42 (3.03-3.80),4.71,3.69
oligodendrocytes 16,158,0.17,30.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02),1.51,12.77
da neurons 6,518,0.141,78.0,122,33,27.05,3.95 (3.08-4.82),89,72.95,4.01 (3.60-4.42),3.26,3.56
astrocytes microglia 23,80,0.238,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.152,52.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37),1.60,5.88
oligodendrocytes 0,2078,0.147,98.0,238,27,11.34,3.94 (3.30-4.58),211,88.66,3.59 (3.35-3.82),3.83,5.18
microglia 1,813,0.108,40.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51),5.40,7.93
oligodendrocytes 3,1003,0.055,9.0,111,14,12.61,5.20 (4.63-5.77),97,87.39,3.02 (2.68-3.37),2.83,4.43
oligodendrocytes 2,921,0.14,54.0,200,25,12.5,4.73 (4.09-5.37),175,87.5,3.46 (3.18-3.74),4.11,3.37
