tipo_celular,module_size,EIF2AK2_MM,EIF2AK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.394,98.0,35,14,40.0,4.40 (3.71-5.08),21,60.0,3.40 (2.01-4.79),2.91,2.86
T cells 18,624,0.113,20.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.112,25.0,166,47,28.31,2.50 (2.17-2.83),119,71.69,3.86 (3.55-4.16),5.66,4.11
oligodendrocyte progenitor cells 7,4285,0.178,97.0,353,69,19.55,2.32 (2.04-2.60),284,80.45,4.42 (4.24-4.60),19.21,5.36
GABA neurons expressing GLU receptors 22,203,0.221,35.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247,0.117,37.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,102,0.22,42.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA,2.29,1.70
GABA neurons expressing GABA receptors 13,200,0.127,30.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94),1.65,3.67
endothelial cells 9,658,0.115,17.0,120,35,29.17,3.56 (3.20-3.93),85,70.83,5.11 (4.73-5.49),4.40,3.34
oligodendrocytes 20,358,0.214,76.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,3052,0.178,81.0,125,3,2.4,3.00 (NA-NA),122,97.6,3.36 (3.03-3.68),2.77,8.76
astrocytes 8,603,0.031,4.0,89,12,13.48,1.82 (1.29-2.35),77,86.52,2.97 (2.58-3.37),6.49,5.97
oligodendrocyte progenitor cells 12,3303,0.091,65.0,276,62,22.46,2.45 (2.17-2.72),214,77.54,3.97 (3.72-4.22),8.73,4.06
oligodendrocytes 10,2107,0.108,33.0,358,79,22.07,2.38 (2.09-2.67),279,77.93,4.49 (4.31-4.67),22.01,5.92
connective tissue cells 21,139,0.303,48.0,4,1,25.0,5.34 (NA-NA),3,75.0,2.91 (2.30-3.51),1.78,1.68
astrocytes 15,261,0.27,91.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,155,0.216,50.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50),1.84,1.53
da neurons 6,553,0.097,27.0,124,8,6.45,3.26 (2.30-4.21),116,93.55,4.27 (3.86-4.69),2.38,3.08
astrocytes microglia 23,101,0.181,2.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,787,0.16,67.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.09,9.0,238,18,7.56,2.73 (2.23-3.24),220,92.44,3.73 (3.49-3.96),6.55,4.90
microglia 1,346,0.15,52.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,457,0.068,19.0,345,17,4.93,3.61 (2.96-4.25),328,95.07,4.32 (4.11-4.54),3.63,5.80
oligodendrocytes 2,1630,0.134,34.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52),2.60,3.61
