tipo_celular,module_size,ARID4B_MM,ARID4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.14,12.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610,0.125,28.0,98,26,26.53,1.58 (1.21-1.95),72,73.47,3.76 (3.46-4.06),7.80,2.68
astrocytes 5,1141,0.138,61.0,166,32,19.28,2.25 (1.86-2.64),134,80.72,3.74 (3.46-4.01),6.33,4.12
oligodendrocyte progenitor cells 7,448,0.158,63.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,192,0.065,6.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,637,0.126,35.0,91,11,12.09,1.26 (0.57-1.95),80,87.91,5.18 (4.73-5.63),3.20,3.04
da like neurons 11,101,0.428,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.18,50.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41),1.81,1.75
endothelial cells 9,1653,0.191,87.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.537,83.0,110,11,10.0,3.38 (2.25-4.52),99,90.0,5.26 (4.80-5.72),2.85,3.60
GABA like neurons 14,1300,0.258,73.0,306,23,7.52,3.01 (2.38-3.63),283,92.48,5.35 (5.09-5.62),4.73,6.87
astrocytes 8,771,0.143,55.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,138,0.403,18.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,236,0.399,27.0,82,12,14.63,4.02 (3.42-4.62),70,85.37,5.22 (4.61-5.83),2.86,4.00
connective tissue cells 21,78,0.244,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.058,24.0,96,3,3.12,2.44 (1.22-3.65),93,96.88,3.66 (3.20-4.12),1.66,3.87
oligodendrocytes 16,287,0.335,56.0,105,12,11.43,3.28 (2.23-4.33),93,88.57,5.45 (5.01-5.89),3.04,3.52
da neurons 6,398,0.187,63.0,138,26,18.84,2.88 (2.30-3.47),112,81.16,5.38 (5.01-5.75),2.75,2.73
astrocytes microglia 23,253,0.26,51.0,47,7,14.89,2.51 (1.73-3.28),40,85.11,2.91 (2.55-3.28),1.96,3.28
astrocytes 4,752,0.151,46.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70),2.73,4.48
oligodendrocytes 0,261,0.215,71.0,42,6,14.29,1.42 (0.79-2.06),36,85.71,4.67 (4.03-5.31),2.18,2.29
microglia 1,480,0.147,28.0,163,13,7.98,3.69 (3.05-4.34),150,92.02,3.71 (3.42-3.99),3.81,5.29
oligodendrocytes 3,127,0.219,38.0,45,3,6.67,1.72 (0.70-2.73),42,93.33,4.65 (3.79-5.52),2.33,6.18
oligodendrocytes 2,131,0.147,27.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
