tipo_celular,module_size,PTMA_MM,PTMA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.319,64.0,98,3,3.06,1.14 (0.56-1.72),95,96.94,3.31 (2.83-3.79),7.46,13.64
T cells 18,506,0.419,88.0,225,12,5.33,2.76 (1.90-3.63),213,94.67,3.68 (3.42-3.94),6.11,8.00
astrocytes 5,328,0.256,79.0,128,7,5.47,4.81 (4.29-5.32),121,94.53,3.47 (3.11-3.83),2.87,6.99
oligodendrocyte progenitor cells 7,628,0.268,86.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,848,0.17,32.0,262,5,1.91,0.52 (0.18-0.87),257,98.09,4.22 (3.98-4.46),3.20,4.12
GLU like neurons 17,685,0.376,96.0,135,29,21.48,2.55 (2.00-3.10),106,78.52,3.41 (3.05-3.76),3.48,3.82
da like neurons 11,408,0.272,69.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,417,0.183,64.0,213,16,7.51,1.18 (0.74-1.62),197,92.49,4.04 (3.81-4.26),6.85,9.92
endothelial cells 9,916,0.559,97.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,938,0.271,92.0,169,5,2.96,2.26 (0.34-4.18),164,97.04,3.53 (3.31-3.74),2.95,5.44
GABA like neurons 14,2402,0.358,74.0,455,18,3.96,1.32 (0.87-1.77),437,96.04,4.52 (4.34-4.69),24.93,8.17
astrocytes 8,771,0.303,81.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,1049,0.323,93.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483,0.372,88.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,301,0.476,75.0,158,8,5.06,4.04 (2.83-5.25),150,94.94,4.27 (3.88-4.65),2.23,7.33
astrocytes 15,458,0.177,80.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.268,41.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77),2.42,3.52
da neurons 6,729,0.175,62.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,91,0.227,34.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,208,0.181,41.0,173,7,4.05,4.81 (4.29-5.32),166,95.95,3.73 (3.42-4.04),3.89,5.69
oligodendrocytes 0,546,0.443,99.0,252,17,6.75,1.48 (0.90-2.06),235,93.25,4.35 (4.11-4.58),9.92,8.09
microglia 1,406,0.398,78.0,278,6,2.16,4.88 (4.29-5.46),272,97.84,4.34 (4.06-4.62),1.89,6.84
oligodendrocytes 3,127,0.529,93.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53),2.18,6.19
oligodendrocytes 2,526,0.525,95.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
