tipo_celular,module_size,MT3_MM,MT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.181,54.0,140,8,5.71,3.00 (2.14-3.86),132,94.29,4.64 (4.20-5.08),3.18,3.60
T cells 18,282,0.117,9.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,328,0.43,96.0,128,29,22.66,5.49 (4.87-6.11),99,77.34,3.21 (2.87-3.54),3.32,7.77
oligodendrocyte progenitor cells 7,448,0.545,100.0,108,3,2.78,NA,105,97.22,3.26 (2.82-3.69),1.69,17.56
GABA neurons expressing GLU receptors 22,203,0.252,46.0,12,2,16.67,8.28 (NA-NA),10,83.33,1.79 (0.84-2.75),1.84,4.19
GLU like neurons 17,685,0.269,88.0,135,46,34.07,2.81 (2.42-3.21),89,65.93,3.43 (3.01-3.86),3.61,3.82
da like neurons 11,1220,0.235,66.0,410,28,6.83,3.52 (3.06-3.97),382,93.17,4.32 (4.12-4.52),8.89,7.41
GABA neurons expressing GABA receptors 13,417,0.166,53.0,213,24,11.27,2.40 (1.51-3.30),189,88.73,3.98 (3.75-4.20),7.83,9.92
endothelial cells 9,916,0.193,45.0,302,20,6.62,3.93 (2.22-5.64),282,93.38,3.98 (3.76-4.21),6.02,10.98
oligodendrocytes 20,938,0.365,98.0,169,17,10.06,2.97 (2.22-3.73),152,89.94,3.55 (3.32-3.77),5.07,5.40
GABA like neurons 14,2402,0.398,80.0,455,30,6.59,2.33 (1.67-2.99),425,93.41,4.52 (4.34-4.70),20.02,8.05
astrocytes 8,603,0.343,99.0,89,19,21.35,2.12 (0.64-3.60),70,78.65,2.85 (2.51-3.19),3.62,6.70
oligodendrocyte progenitor cells 12,1049,0.598,100.0,235,11,4.68,3.99 (3.37-4.61),224,95.32,3.81 (3.57-4.06),4.16,7.78
oligodendrocytes 10,806,0.157,50.0,261,34,13.03,4.82 (4.10-5.54),227,86.97,4.28 (4.03-4.54),4.84,6.25
connective tissue cells 21,103,0.339,83.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,458,0.094,51.0,36,8,22.22,8.14 (7.87-8.41),28,77.78,2.61 (1.87-3.36),1.75,2.81
oligodendrocytes 16,96,0.289,76.0,102,12,11.76,1.66 (1.08-2.23),90,88.24,3.63 (3.29-3.96),4.22,8.12
da neurons 6,729,0.244,87.0,182,4,2.2,1.40 (1.32-1.48),178,97.8,3.68 (3.43-3.93),3.48,8.63
astrocytes microglia 23,140,0.244,11.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,208,0.439,94.0,173,42,24.28,4.76 (4.33-5.20),131,75.72,3.50 (3.16-3.85),3.76,6.22
oligodendrocytes 0,546,0.304,90.0,252,34,13.49,2.85 (2.20-3.50),218,86.51,4.34 (4.09-4.60),8.64,8.14
microglia 1,214,0.117,19.0,227,13,5.73,4.07 (3.35-4.80),214,94.27,4.09 (3.84-4.34),6.41,6.10
oligodendrocytes 3,303,0.333,99.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94),3.75,11.89
oligodendrocytes 2,526,0.508,93.0,213,5,2.35,4.40 (2.55-6.25),208,97.65,3.97 (3.69-4.25),7.16,7.96
