tipo_celular,module_size,DYNLL1_MM,DYNLL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.186,56.0,140,18,12.86,4.01 (3.23-4.80),122,87.14,4.60 (4.12-5.08),3.54,3.58
T cells 18,393,0.158,53.0,59,3,5.08,3.09 (2.52-3.67),56,94.92,3.11 (2.58-3.63),2.55,5.49
astrocytes 5,328,0.205,66.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.271,86.0,164,13,7.93,3.88 (2.87-4.89),151,92.07,4.10 (3.76-4.44),2.65,7.95
GABA neurons expressing GLU receptors 22,848,0.237,60.0,262,27,10.31,3.00 (2.44-3.56),235,89.69,4.33 (4.07-4.59),5.74,3.92
GLU like neurons 17,685,0.125,45.0,135,16,11.85,1.88 (1.42-2.35),119,88.15,3.40 (3.07-3.73),3.45,3.79
da like neurons 11,1220,0.46,96.0,410,27,6.59,3.12 (2.35-3.88),383,93.41,4.33 (4.14-4.52),9.56,7.37
GABA neurons expressing GABA receptors 13,417,0.214,77.0,213,19,8.92,1.31 (0.85-1.76),194,91.08,4.06 (3.84-4.29),7.77,9.87
endothelial cells 9,916,0.389,84.0,302,9,2.98,1.73 (0.94-2.52),293,97.02,4.04 (3.82-4.27),6.83,10.77
oligodendrocytes 20,322,0.088,34.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.744,100.0,455,34,7.47,2.20 (1.59-2.82),421,92.53,4.53 (4.35-4.71),20.12,7.92
astrocytes 8,520,0.225,75.0,288,35,12.15,3.24 (2.72-3.75),253,87.85,4.32 (4.11-4.53),7.78,4.26
oligodendrocyte progenitor cells 12,708,0.322,87.0,32,13,40.62,1.66 (1.04-2.27),19,59.38,4.62 (3.65-5.60),3.33,2.10
oligodendrocytes 10,806,0.34,85.0,261,28,10.73,3.62 (3.06-4.18),233,89.27,4.47 (4.21-4.73),6.68,5.99
connective tissue cells 21,301,0.463,72.0,158,9,5.7,2.08 (1.16-3.01),149,94.3,4.38 (4.01-4.75),8.53,6.98
astrocytes 15,443,0.121,27.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,313,0.176,32.0,291,28,9.62,3.37 (2.76-3.98),263,90.38,4.44 (4.20-4.67),5.85,3.60
da neurons 6,729,0.251,89.0,182,4,2.2,2.22 (1.48-2.95),178,97.8,3.68 (3.42-3.93),4.19,8.62
astrocytes microglia 23,39,0.322,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208,0.208,56.0,173,2,1.16,NA,171,98.84,3.80 (3.50-4.10),3.14,5.65
oligodendrocytes 0,546,0.297,89.0,252,27,10.71,2.12 (1.38-2.86),225,89.29,4.35 (4.11-4.59),10.26,7.96
microglia 1,214,0.266,75.0,227,21,9.25,4.48 (3.65-5.32),206,90.75,4.05 (3.81-4.30),4.69,6.27
oligodendrocytes 3,457,0.237,88.0,345,31,8.99,3.16 (2.66-3.67),314,91.01,4.40 (4.18-4.62),7.12,5.55
oligodendrocytes 2,526,0.416,85.0,213,3,1.41,7.59 (NA-NA),210,98.59,3.96 (3.68-4.23),2.33,8.02
