tipo_celular,module_size,NIPSNAP2_MM,NIPSNAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.056,2.0,140,1,0.71,5.15 (NA-NA),139,99.29,4.55 (4.27-4.84),2.14,3.55
T cells 18,610,0.192,76.0,98,9,9.18,0.67 (0.32-1.02),89,90.82,3.40 (3.11-3.69),9.34,3.50
astrocytes 5,932,0.149,91.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.11,17.0,353,18,5.1,1.27 (0.88-1.65),335,94.9,4.07 (3.90-4.25),28.80,6.95
GABA neurons expressing GLU receptors 22,823,0.205,68.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,489,0.139,52.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,120,0.042,0.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,93,0.207,81.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,338,0.068,12.0,191,8,4.19,3.43 (2.88-3.98),183,95.81,3.91 (3.68-4.14),3.27,9.42
oligodendrocytes 20,322,0.029,4.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090,0.208,83.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266,0.143,85.0,66,11,16.67,1.07 (0.64-1.50),55,83.33,3.74 (3.36-4.12),3.55,2.83
oligodendrocyte progenitor cells 12,3303,0.053,18.0,276,11,3.99,1.58 (1.21-1.94),265,96.01,3.65 (3.43-3.87),7.07,5.03
oligodendrocytes 10,806,0.061,11.0,261,16,6.13,2.59 (2.20-2.99),245,93.87,4.52 (4.27-4.77),7.49,5.97
connective tissue cells 21,100,0.242,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.072,35.0,105,8,7.62,1.32 (0.85-1.79),97,92.38,3.38 (3.04-3.72),4.95,3.90
oligodendrocytes 16,112,0.183,59.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,228,0.064,10.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,132,0.275,30.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,251,0.195,71.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186,0.134,32.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615,0.088,20.0,161,12,7.45,0.89 (0.49-1.29),149,92.55,3.51 (3.25-3.77),13.82,4.76
oligodendrocytes 3,639,0.083,39.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,407,0.14,33.0,122,10,8.2,0.73 (0.43-1.03),112,91.8,3.63 (3.25-4.01),3.24,2.65
