tipo_celular,module_size,CTSB_MM,CTSB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.117,22.0,97,2,2.06,3.85 (1.26-6.43),95,97.94,3.03 (2.64-3.43),3.94,4.92
T cells 18,282,0.253,80.0,241,2,0.83,7.00 (7.00-7.00),239,99.17,4.02 (3.77-4.27),4.35,4.34
astrocytes 5,1656,0.142,88.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,296,0.211,66.0,251,4,1.59,2.86 (NA-NA),247,98.41,4.07 (3.83-4.31),4.92,6.17
GABA neurons expressing GLU receptors 22,848,0.378,89.0,262,26,9.92,3.12 (2.49-3.74),236,90.08,4.27 (4.01-4.53),8.36,3.64
GLU like neurons 17,1316,0.095,24.0,101,2,1.98,2.95 (2.12-3.79),99,98.02,3.05 (2.70-3.41),2.73,3.06
da like neurons 11,1220,0.203,58.0,410,32,7.8,3.57 (3.06-4.09),378,92.2,4.31 (4.11-4.50),13.68,6.99
GABA neurons expressing GABA receptors 13,357,0.224,75.0,237,6,2.53,4.79 (3.28-6.30),231,97.47,4.39 (4.16-4.63),4.09,4.19
endothelial cells 9,559,0.19,63.0,155,5,3.23,4.64 (3.33-5.94),150,96.77,4.32 (3.95-4.70),2.00,4.41
oligodendrocytes 20,233,0.103,12.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.331,71.0,455,40,8.79,2.55 (1.97-3.13),415,91.21,4.54 (4.35-4.72),21.45,7.62
astrocytes 8,520,0.167,64.0,288,28,9.72,3.54 (2.81-4.26),260,90.28,4.23 (4.03-4.44),10.60,4.05
oligodendrocyte progenitor cells 12,3303,0.047,12.0,276,21,7.61,2.20 (1.72-2.68),255,92.39,3.69 (3.46-3.92),13.53,4.42
oligodendrocytes 10,483,0.137,57.0,129,3,2.33,4.46 (3.75-5.17),126,97.67,3.40 (3.00-3.80),6.71,19.49
connective tissue cells 21,125,0.356,75.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401,0.171,93.0,96,1,1.04,5.16 (NA-NA),95,98.96,3.59 (3.14-4.05),2.12,3.81
oligodendrocytes 16,156,0.34,97.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,300,0.23,71.0,159,3,1.89,4.80 (2.62-6.99),156,98.11,4.35 (4.04-4.67),5.41,3.70
astrocytes microglia 23,327,0.369,65.0,120,30,25.0,2.79 (2.14-3.45),90,75.0,3.88 (3.56-4.20),3.40,2.59
astrocytes 4,1807,0.159,77.0,104,19,18.27,2.06 (1.52-2.61),85,81.73,3.06 (2.75-3.37),11.80,3.97
oligodendrocytes 0,116,0.086,8.0,169,2,1.18,4.93 (0.87-8.99),167,98.82,4.26 (3.97-4.56),1.67,6.54
microglia 1,406,0.184,51.0,278,5,1.8,4.57 (4.23-4.91),273,98.2,4.36 (4.08-4.64),2.75,6.81
oligodendrocytes 3,457,0.151,65.0,345,24,6.96,3.76 (3.23-4.29),321,93.04,4.31 (4.09-4.53),15.44,4.96
oligodendrocytes 2,99,0.171,28.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
