tipo_celular,module_size,CAMK2D_MM,CAMK2D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.176,35.0,140,13,9.29,3.11 (2.43-3.78),127,90.71,4.71 (4.42-5.00),5.07,3.39
T cells 18,388,0.276,89.0,84,9,10.71,2.55 (2.24-2.86),75,89.29,3.03 (2.66-3.39),2.19,4.58
astrocytes 5,322,0.265,82.0,58,12,20.69,2.57 (1.96-3.18),46,79.31,4.53 (4.10-4.96),2.17,2.36
oligodendrocyte progenitor cells 7,666,0.079,5.0,127,24,18.9,2.98 (2.41-3.55),103,81.1,4.16 (3.78-4.55),3.86,6.30
GABA neurons expressing GLU receptors 22,459,0.248,79.0,165,24,14.55,3.57 (3.04-4.10),141,85.45,5.46 (5.09-5.84),2.56,4.35
GLU like neurons 17,685,0.221,81.0,135,35,25.93,2.56 (2.07-3.06),100,74.07,3.46 (3.09-3.82),3.63,3.79
da like neurons 11,153,0.325,78.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,200,0.221,87.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88),1.78,3.60
endothelial cells 9,1653,0.173,80.0,297,6,2.02,3.12 (1.95-4.29),291,97.98,3.68 (3.47-3.88),4.01,5.55
oligodendrocytes 20,330,0.221,67.0,36,17,47.22,1.98 (1.77-2.18),19,52.78,1.87 (1.19-2.54),2.95,3.29
GABA like neurons 14,1300,0.074,5.0,306,68,22.22,3.76 (3.32-4.21),238,77.78,5.65 (5.38-5.93),5.16,7.15
astrocytes 8,727,0.277,98.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,254,0.26,43.0,37,4,10.81,2.68 (2.20-3.15),33,89.19,4.77 (4.17-5.37),2.41,2.48
oligodendrocytes 10,1277,0.065,20.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26),1.48,6.56
connective tissue cells 21,84,0.252,47.0,4,3,75.0,4.34 (4.07-4.60),1,25.0,NA,1.84,1.81
astrocytes 15,338,0.14,43.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,108,0.196,62.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,307,0.182,85.0,95,14,14.74,4.74 (4.26-5.22),81,85.26,4.87 (4.35-5.39),2.22,3.56
astrocytes microglia 23,76,0.189,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.137,18.0,95,7,7.37,2.60 (0.90-4.29),88,92.63,3.45 (3.02-3.88),2.81,4.79
oligodendrocytes 0,1186,0.186,96.0,300,16,5.33,3.46 (3.01-3.91),284,94.67,3.81 (3.60-4.02),6.00,4.05
microglia 1,315,0.134,30.0,144,11,7.64,3.18 (2.29-4.07),133,92.36,4.53 (4.22-4.85),2.85,4.32
oligodendrocytes 3,854,0.188,98.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05),2.82,4.94
oligodendrocytes 2,804,0.158,57.0,84,17,20.24,2.60 (1.95-3.25),67,79.76,2.72 (2.32-3.11),3.64,3.33
