tipo_celular,module_size,GANAB_MM,GANAB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.124,27.0,71,2,2.82,0.96 (-0.52-2.44),69,97.18,2.68 (2.26-3.09),4.29,3.56
T cells 18,518,0.195,74.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.11,41.0,136,4,2.94,2.12 (1.02-3.22),132,97.06,3.25 (2.97-3.52),4.88,4.99
oligodendrocyte progenitor cells 7,628,0.143,34.0,164,6,3.66,4.41 (2.81-6.01),158,96.34,4.07 (3.73-4.40),9.26,7.46
GABA neurons expressing GLU receptors 22,823,0.209,70.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,685,0.162,66.0,135,16,11.85,1.81 (1.21-2.41),119,88.15,3.35 (3.03-3.67),6.22,3.42
da like neurons 11,215,0.086,9.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,357,0.166,52.0,237,1,0.42,6.60 (NA-NA),236,99.58,4.40 (4.16-4.63),1.62,4.19
endothelial cells 9,385,0.076,19.0,275,24,8.73,1.28 (0.92-1.65),251,91.27,4.27 (4.02-4.52),14.51,5.06
oligodendrocytes 20,279,0.15,27.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.132,18.0,455,30,6.59,1.98 (1.38-2.58),425,93.41,4.55 (4.37-4.72),26.26,7.61
astrocytes 8,603,0.078,52.0,89,5,5.62,1.11 (0.86-1.36),84,94.38,2.90 (2.54-3.26),6.35,6.02
oligodendrocyte progenitor cells 12,218,0.049,18.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,735,0.092,48.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,301,0.23,11.0,158,6,3.8,1.39 (0.86-1.91),152,96.2,4.42 (4.06-4.79),9.77,6.96
astrocytes 15,1768,0.024,2.0,105,17,16.19,1.74 (1.28-2.20),88,83.81,3.52 (3.17-3.88),8.34,3.14
oligodendrocytes 16,116,0.243,80.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,518,0.111,52.0,122,19,15.57,2.01 (1.15-2.87),103,84.43,4.37 (3.98-4.76),4.33,3.33
astrocytes microglia 23,134,0.242,13.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,1807,0.16,78.0,104,18,17.31,1.65 (1.20-2.10),86,82.69,3.14 (2.84-3.44),13.12,3.78
oligodendrocytes 0,2078,0.099,20.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,958,0.081,8.0,290,2,0.69,2.59 (1.36-3.82),288,99.31,3.82 (3.59-4.05),18.65,4.91
oligodendrocytes 3,743,0.056,14.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,1630,0.161,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
