tipo_celular,module_size,AMD1_MM,AMD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.225,64.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,282,0.171,45.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,165,0.158,40.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.162,35.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.23,65.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.175,57.0,91,5,5.49,1.38 (0.16-2.59),86,94.51,4.79 (4.28-5.30),4.14,3.00
da like neurons 11,408,0.239,64.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34),2.19,2.28
GABA neurons expressing GABA receptors 13,77,0.232,86.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,916,0.109,18.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,233,0.118,14.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.399,80.0,455,5,1.1,0.78 (0.43-1.13),450,98.9,4.40 (4.21-4.58),33.72,8.56
astrocytes 8,771,0.286,79.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708,0.142,63.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.175,61.0,358,9,2.51,1.34 (0.61-2.08),349,97.49,3.95 (3.76-4.14),27.01,9.02
connective tissue cells 21,250,0.35,62.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,458,0.06,27.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,75,0.193,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.156,85.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,112,0.334,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,102,0.136,16.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,613,0.169,72.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,406,0.095,13.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,681,0.156,88.0,87,5,5.75,1.63 (0.59-2.67),82,94.25,2.65 (2.37-2.92),4.16,4.25
oligodendrocytes 2,528,0.222,61.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
