tipo_celular,module_size,PUM1_MM,PUM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.084,5.0,97,4,4.12,3.68 (0.91-6.46),93,95.88,3.04 (2.64-3.44),3.27,4.97
T cells 18,477,0.183,64.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.107,20.0,166,50,30.12,2.80 (2.39-3.21),116,69.88,3.72 (3.42-4.02),5.46,4.16
oligodendrocyte progenitor cells 7,448,0.123,35.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,848,0.151,24.0,262,12,4.58,2.27 (1.01-3.52),250,95.42,4.24 (4.00-4.49),3.95,4.11
GLU like neurons 17,685,0.155,62.0,135,41,30.37,2.49 (2.10-2.87),94,69.63,3.59 (3.18-3.99),4.03,3.63
da like neurons 11,200,0.14,29.0,8,2,25.0,NA,6,75.0,NA,1.63,1.61
GABA neurons expressing GABA receptors 13,200,0.201,79.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94),1.65,3.67
endothelial cells 9,1653,0.158,72.0,297,7,2.36,4.24 (3.25-5.22),290,97.64,3.66 (3.45-3.86),4.95,5.53
oligodendrocytes 20,228,0.123,22.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,1300,0.192,43.0,306,21,6.86,2.44 (1.99-2.89),285,93.14,5.38 (5.12-5.63),5.62,6.79
astrocytes 8,577,0.097,59.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,143,0.389,27.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.266,84.0,358,82,22.91,2.77 (2.40-3.15),276,77.09,4.32 (4.13-4.51),21.25,5.97
connective tissue cells 21,139,0.238,24.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73),1.31,2.20
astrocytes 15,1768,0.149,91.0,105,30,28.57,2.64 (2.01-3.26),75,71.43,3.45 (3.06-3.83),6.06,3.14
oligodendrocytes 16,108,0.146,26.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,307,0.121,51.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,253,0.194,18.0,47,10,21.28,2.58 (1.89-3.27),37,78.72,2.91 (2.53-3.28),1.86,3.41
astrocytes 4,752,0.133,22.0,96,18,18.75,3.03 (2.52-3.54),78,81.25,3.37 (2.97-3.77),2.63,4.71
oligodendrocytes 0,1186,0.155,68.0,300,14,4.67,3.64 (3.26-4.02),286,95.33,3.80 (3.59-4.02),6.02,4.06
microglia 1,958,0.096,26.0,290,38,13.1,4.21 (3.53-4.88),252,86.9,3.75 (3.50-3.99),4.91,5.01
oligodendrocytes 3,681,0.077,34.0,87,44,50.57,2.24 (1.94-2.54),43,49.43,3.00 (2.55-3.45),5.39,3.06
oligodendrocytes 2,921,0.122,26.0,200,20,10.0,4.82 (4.14-5.51),180,90.0,3.49 (3.21-3.77),4.48,3.35
