tipo_celular,module_size,HEATR5B_MM,HEATR5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.097,9.0,32,3,9.38,4.71 (4.32-5.09),29,90.62,3.60 (2.74-4.46),2.25,3.75
T cells 18,610,0.154,53.0,98,27,27.55,2.55 (1.83-3.27),71,72.45,3.34 (3.02-3.67),7.81,2.60
astrocytes 5,1656,0.099,25.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47),3.08,5.02
oligodendrocyte progenitor cells 7,4285,0.163,88.0,353,29,8.22,2.45 (1.77-3.14),324,91.78,4.05 (3.86-4.23),31.19,5.99
GABA neurons expressing GLU receptors 22,192,0.081,13.0,55,1,1.82,NA,54,98.18,4.03 (3.61-4.44),1.92,3.35
GLU like neurons 17,1316,0.107,35.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,102,0.35,77.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,75,0.204,80.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.144,63.0,297,2,0.67,6.89 (6.89-6.89),295,99.33,3.65 (3.44-3.85),3.81,5.53
oligodendrocytes 20,322,0.105,41.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354,0.043,8.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708,0.088,39.0,32,11,34.38,1.91 (0.92-2.90),21,65.62,3.99 (3.00-4.98),3.33,2.21
oligodendrocytes 10,2107,0.239,80.0,358,28,7.82,2.47 (1.76-3.18),330,92.18,4.01 (3.82-4.20),32.31,7.53
connective tissue cells 21,111,0.352,79.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1401,0.089,54.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09),3.60,3.80
oligodendrocytes 16,155,0.201,41.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,518,0.099,38.0,122,21,17.21,2.26 (1.70-2.82),101,82.79,4.46 (4.04-4.88),4.32,3.31
astrocytes microglia 23,96,0.204,2.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,787,0.151,50.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.134,31.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615,0.122,67.0,161,22,13.66,1.84 (1.26-2.42),139,86.34,3.53 (3.25-3.80),14.57,3.99
oligodendrocytes 3,854,0.057,12.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.131,39.0,200,6,3.0,3.05 (2.02-4.07),194,97.0,3.64 (3.36-3.91),6.98,3.35
