tipo_celular,module_size,PSMD14_MM,PSMD14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.237,84.0,97,3,3.09,3.32 (1.50-5.13),94,96.91,3.04 (2.64-3.45),4.11,4.93
T cells 18,727,0.115,28.0,49,3,6.12,3.46 (2.38-4.54),46,93.88,2.35 (1.94-2.76),5.42,6.29
astrocytes 5,1141,0.127,44.0,166,40,24.1,2.71 (2.34-3.09),126,75.9,3.67 (3.37-3.97),7.18,3.72
oligodendrocyte progenitor cells 7,4285,0.129,41.0,353,54,15.3,2.48 (2.11-2.86),299,84.7,4.22 (4.03-4.41),24.34,5.12
GABA neurons expressing GLU receptors 22,487,0.203,46.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,637,0.075,10.0,91,10,10.99,1.23 (0.41-2.05),81,89.01,5.12 (4.66-5.57),3.34,3.02
da like neurons 11,132,0.306,63.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,80,0.135,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916,0.047,1.0,302,21,6.95,4.13 (3.10-5.16),281,93.05,3.97 (3.74-4.20),6.38,10.97
oligodendrocytes 20,322,0.212,81.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.234,52.0,455,57,12.53,2.97 (2.50-3.44),398,87.47,4.58 (4.39-4.77),15.49,7.88
astrocytes 8,520,0.043,9.0,288,36,12.5,3.50 (2.99-4.01),252,87.5,4.26 (4.05-4.48),6.04,4.49
oligodendrocyte progenitor cells 12,3303,0.043,9.0,276,49,17.75,2.69 (2.34-3.05),227,82.25,3.78 (3.53-4.03),11.77,3.67
oligodendrocytes 10,735,0.118,62.0,277,10,3.61,4.03 (3.69-4.37),267,96.39,3.89 (3.65-4.14),4.65,9.11
connective tissue cells 21,82,0.204,13.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1768,0.152,92.0,105,29,27.62,2.59 (2.13-3.04),76,72.38,3.48 (3.06-3.90),7.26,2.73
oligodendrocytes 16,69,0.188,27.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,409,0.129,53.0,235,20,8.51,2.64 (1.91-3.36),215,91.49,4.07 (3.81-4.33),8.22,4.06
astrocytes microglia 23,37,0.29,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.158,63.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.116,53.0,238,19,7.98,3.42 (2.64-4.21),219,92.02,3.65 (3.42-3.88),6.72,4.88
microglia 1,813,0.159,82.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53),3.23,8.09
oligodendrocytes 3,854,0.093,54.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,921,0.098,5.0,200,6,3.0,2.73 (2.29-3.18),194,97.0,3.66 (3.38-3.93),3.88,3.45
