tipo_celular,module_size,CTNNB1_MM,CTNNB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.327,87.0,102,65,63.73,3.04 (2.73-3.35),37,36.27,4.28 (3.51-5.05),3.35,2.48
T cells 18,610,0.156,55.0,98,58,59.18,2.44 (2.12-2.77),40,40.82,4.24 (3.82-4.67),5.03,2.60
astrocytes 5,1141,0.128,45.0,166,71,42.77,2.91 (2.60-3.21),95,57.23,3.86 (3.48-4.23),5.51,3.83
oligodendrocyte progenitor cells 7,4285,0.123,30.0,353,105,29.75,2.69 (2.45-2.92),248,70.25,4.58 (4.38-4.78),15.93,4.73
GABA neurons expressing GLU receptors 22,487,0.307,78.0,73,7,9.59,2.46 (1.20-3.71),66,90.41,2.79 (2.39-3.20),2.34,7.86
GLU like neurons 17,685,0.241,84.0,135,61,45.19,2.98 (2.55-3.41),74,54.81,3.36 (2.93-3.79),3.97,3.57
da like neurons 11,289,0.144,35.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,265,0.143,41.0,78,11,14.1,3.90 (2.99-4.82),67,85.9,4.46 (4.00-4.92),4.16,4.28
endothelial cells 9,658,0.231,60.0,120,40,33.33,4.32 (3.78-4.86),80,66.67,4.78 (4.39-5.16),3.70,3.63
oligodendrocytes 20,275,0.133,22.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052,0.196,90.0,125,6,4.8,3.77 (2.88-4.65),119,95.2,3.34 (3.01-3.67),4.01,8.85
astrocytes 8,354,0.094,31.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.112,84.0,276,86,31.16,2.64 (2.39-2.89),190,68.84,4.05 (3.78-4.33),8.59,3.54
oligodendrocytes 10,2107,0.14,48.0,358,126,35.2,2.75 (2.51-2.99),232,64.8,4.72 (4.51-4.92),17.54,5.09
connective tissue cells 21,102,0.224,25.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA,1.33,1.53
astrocytes 15,367,0.143,49.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,105,0.149,12.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00),2.83,14.58
da neurons 6,518,0.101,41.0,122,45,36.89,3.58 (2.86-4.30),77,63.11,4.30 (3.88-4.71),3.77,3.32
astrocytes microglia 23,125,0.256,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.131,16.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,1186,0.114,11.0,300,32,10.67,3.84 (3.40-4.29),268,89.33,3.79 (3.56-4.01),4.66,4.10
microglia 1,480,0.281,82.0,163,11,6.75,3.25 (2.40-4.09),152,93.25,3.74 (3.46-4.01),3.22,5.31
oligodendrocytes 3,743,0.087,58.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.126,31.0,200,10,5.0,2.48 (1.93-3.03),190,95.0,3.67 (3.40-3.95),3.47,3.46
