tipo_celular,module_size,DYNC1LI2_MM,DYNC1LI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.139,33.0,140,4,2.86,5.20 (3.56-6.84),136,97.14,4.47 (4.04-4.91),2.47,3.60
T cells 18,727,0.171,71.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,228,0.111,17.0,266,18,6.77,2.49 (1.53-3.45),248,93.23,4.26 (4.06-4.46),4.64,5.00
oligodendrocyte progenitor cells 7,4285,0.109,16.0,353,18,5.1,1.51 (0.92-2.10),335,94.9,4.04 (3.86-4.22),25.03,7.15
GABA neurons expressing GLU receptors 22,567,0.14,25.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41),1.93,4.02
GLU like neurons 17,380,0.157,39.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56),2.61,2.57
da like neurons 11,1220,0.13,29.0,410,4,0.98,2.69 (-0.62-6.00),406,99.02,4.27 (4.08-4.45),9.70,7.49
GABA neurons expressing GABA receptors 13,67,0.221,82.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,559,0.141,43.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,298,0.071,26.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052,0.192,89.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,520,0.094,38.0,288,9,3.12,3.25 (1.48-5.02),279,96.88,4.21 (4.01-4.40),4.50,4.69
oligodendrocyte progenitor cells 12,3303,0.127,92.0,276,9,3.26,1.81 (0.84-2.79),267,96.74,3.60 (3.38-3.82),8.23,5.01
oligodendrocytes 10,806,0.245,71.0,261,7,2.68,4.53 (2.88-6.17),254,97.32,4.36 (4.11-4.60),4.85,6.10
connective tissue cells 21,106,0.249,30.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768,0.119,78.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68),5.89,3.86
oligodendrocytes 16,313,0.122,9.0,291,8,2.75,3.97 (2.03-5.92),283,97.25,4.34 (4.11-4.56),2.85,3.84
da neurons 6,553,0.132,54.0,124,3,2.42,4.09 (-0.04-8.22),121,97.58,4.19 (3.80-4.57),2.81,3.04
astrocytes microglia 23,124,0.349,71.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,721,0.143,33.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,613,0.199,89.0,127,1,0.79,1.71 (NA-NA),126,99.21,3.07 (2.65-3.49),2.34,6.31
microglia 1,214,0.114,16.0,227,7,3.08,4.44 (2.82-6.07),220,96.92,4.08 (3.84-4.32),3.30,6.21
oligodendrocytes 3,681,0.073,29.0,87,7,8.05,1.67 (0.95-2.38),80,91.95,2.67 (2.39-2.95),3.99,4.26
oligodendrocytes 2,528,0.137,14.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
