tipo_celular,module_size,RPL28_MM,RPL28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.514,92.0,98,27,27.55,2.59 (2.06-3.13),71,72.45,3.51 (2.88-4.14),32.78,6.11
T cells 18,506,0.62,100.0,225,28,12.44,2.59 (2.04-3.14),197,87.56,3.76 (3.50-4.03),30.25,4.73
astrocytes 5,328,0.277,85.0,128,9,7.03,3.57 (3.00-4.15),119,92.97,3.57 (3.20-3.94),22.36,5.58
oligodendrocyte progenitor cells 7,448,0.353,94.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487,0.444,97.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24),14.51,5.47
GLU like neurons 17,685,0.216,80.0,135,29,21.48,2.25 (1.76-2.74),106,78.52,3.44 (3.09-3.79),6.37,3.03
da like neurons 11,1220,0.288,79.0,410,24,5.85,3.12 (2.55-3.69),386,94.15,4.32 (4.12-4.51),18.47,6.83
GABA neurons expressing GABA receptors 13,417,0.195,69.0,213,31,14.55,2.19 (1.62-2.77),182,85.45,4.05 (3.81-4.30),16.75,8.48
endothelial cells 9,916,0.638,100.0,302,12,3.97,3.18 (2.35-4.01),290,96.03,4.02 (3.79-4.26),39.00,9.48
oligodendrocytes 20,938,0.29,94.0,169,21,12.43,2.90 (2.23-3.57),148,87.57,3.56 (3.33-3.79),17.28,3.67
GABA like neurons 14,2402,0.564,93.0,455,36,7.91,2.20 (1.67-2.73),419,92.09,4.55 (4.37-4.73),26.88,7.28
astrocytes 8,603,0.226,92.0,89,18,20.22,2.40 (1.77-3.02),71,79.78,2.89 (2.47-3.31),10.50,4.91
oligodendrocyte progenitor cells 12,1049,0.45,98.0,235,18,7.66,3.36 (2.83-3.89),217,92.34,3.86 (3.61-4.10),27.42,5.97
oligodendrocytes 10,483,0.52,98.0,129,11,8.53,3.68 (3.20-4.16),118,91.47,3.40 (2.97-3.83),50.84,16.24
connective tissue cells 21,301,0.636,96.0,158,15,9.49,2.65 (1.95-3.35),143,90.51,4.50 (4.11-4.88),35.08,4.13
astrocytes 15,458,0.087,45.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01),2.22,2.63
oligodendrocytes 16,96,0.349,92.0,102,33,32.35,2.28 (1.80-2.76),69,67.65,3.88 (3.52-4.25),15.85,3.75
da neurons 6,729,0.309,97.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00),34.14,6.22
astrocytes microglia 23,137,0.477,84.0,188,26,13.83,2.31 (1.78-2.84),162,86.17,4.81 (4.46-5.15),28.76,3.68
astrocytes 4,208,0.149,22.0,173,9,5.2,3.57 (3.00-4.15),164,94.8,3.81 (3.49-4.13),16.33,5.03
oligodendrocytes 0,546,0.347,95.0,252,35,13.89,2.18 (1.68-2.69),217,86.11,4.45 (4.21-4.69),28.34,4.96
microglia 1,406,0.563,95.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67),63.64,5.05
oligodendrocytes 3,303,0.307,97.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96),67.91,8.36
oligodendrocytes 2,526,0.521,94.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
