tipo_celular,module_size,AHI1_MM,AHI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.173,47.0,15,8,53.33,5.34 (4.72-5.95),7,46.67,7.00 (5.74-8.26),2.48,2.17
T cells 18,624,0.279,98.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48),7.22,4.26
astrocytes 5,1141,0.163,87.0,166,33,19.88,2.11 (1.80-2.42),133,80.12,3.75 (3.47-4.02),3.69,4.76
oligodendrocyte progenitor cells 7,448,0.1,19.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459,0.153,49.0,165,18,10.91,3.41 (2.52-4.31),147,89.09,5.35 (5.01-5.70),4.12,4.09
GLU like neurons 17,1247,0.07,9.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,71,0.317,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.186,58.0,93,27,29.03,4.10 (3.44-4.75),66,70.97,5.79 (5.17-6.41),5.20,3.44
endothelial cells 9,1653,0.155,70.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),6.04,5.51
oligodendrocytes 20,676,0.523,81.0,110,33,30.0,3.87 (3.31-4.44),77,70.0,5.73 (5.18-6.28),3.89,3.37
GABA like neurons 14,2090,0.132,34.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58),3.27,12.04
astrocytes 8,262,0.232,86.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,153,0.381,38.0,27,3,11.11,2.88 (0.93-4.82),24,88.89,5.32 (4.38-6.26),2.84,2.06
oligodendrocytes 10,130,0.506,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,69,0.205,12.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1768,0.191,99.0,105,17,16.19,1.70 (1.22-2.18),88,83.81,3.53 (3.18-3.89),5.00,3.78
oligodendrocytes 16,153,0.286,27.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,729,0.111,29.0,182,7,3.85,1.87 (1.36-2.38),175,96.15,3.72 (3.47-3.98),4.11,8.70
astrocytes microglia 23,166,0.249,33.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,514,0.136,18.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95),3.16,4.72
oligodendrocytes 0,261,0.132,19.0,42,21,50.0,3.38 (2.58-4.17),21,50.0,5.37 (4.41-6.33),2.22,2.33
microglia 1,127,0.089,4.0,24,6,25.0,5.62 (4.96-6.29),18,75.0,4.96 (3.97-5.94),2.80,2.37
oligodendrocytes 3,116,0.207,6.0,7,5,71.43,2.01 (-0.06-4.08),2,28.57,6.27 (6.14-6.40),1.51,1.38
oligodendrocytes 2,804,0.099,4.0,84,12,14.29,2.11 (1.14-3.09),72,85.71,2.79 (2.44-3.14),2.54,3.54
