tipo_celular,module_size,NDUFV3_MM,NDUFV3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.13,24.0,98,10,10.2,2.81 (1.90-3.72),88,89.8,3.28 (2.75-3.81),8.58,14.01
T cells 18,388,0.035,0.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,932,0.066,2.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.086,3.0,353,21,5.95,1.27 (0.91-1.62),332,94.05,4.11 (3.93-4.28),31.02,6.61
GABA neurons expressing GLU receptors 22,192,0.125,46.0,55,43,78.18,3.94 (3.58-4.29),12,21.82,4.41 (2.73-6.10),3.78,1.70
GLU like neurons 17,380,0.12,16.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56),2.57,2.57
da like neurons 11,101,0.064,1.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80,0.189,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916,0.112,18.0,302,61,20.2,3.78 (3.48-4.08),241,79.8,4.05 (3.76-4.34),19.13,8.51
oligodendrocytes 20,221,0.246,67.0,12,1,8.33,NA,11,91.67,2.42 (0.83-4.00),1.81,4.45
GABA like neurons 14,2402,0.124,16.0,455,73,16.04,3.34 (2.99-3.69),382,83.96,4.61 (4.40-4.81),18.75,6.94
astrocytes 8,603,0.065,40.0,89,7,7.87,1.51 (1.05-1.98),82,92.13,2.91 (2.54-3.28),5.38,6.10
oligodendrocyte progenitor cells 12,1049,0.083,44.0,235,51,21.7,4.00 (3.71-4.29),184,78.3,3.76 (3.47-4.06),6.62,7.89
oligodendrocytes 10,1277,0.037,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,104,0.242,26.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1401,0.074,38.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,94,0.248,75.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,729,0.138,42.0,182,19,10.44,3.85 (3.10-4.61),163,89.56,3.61 (3.34-3.88),13.41,7.95
astrocytes microglia 23,157,0.256,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.133,29.0,104,13,12.5,1.42 (0.95-1.89),91,87.5,3.09 (2.80-3.38),10.75,4.63
oligodendrocytes 0,2078,0.08,4.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89),15.43,4.89
microglia 1,813,0.069,3.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53),6.31,7.92
oligodendrocytes 3,303,0.037,2.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,1630,0.112,7.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
