tipo_celular,module_size,BICD1_MM,BICD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.115,20.0,97,2,2.06,4.38 (2.85-5.92),95,97.94,3.02 (2.62-3.42),4.05,4.92
T cells 18,624,0.142,41.0,142,4,2.82,3.79 (NA-NA),138,97.18,3.20 (2.94-3.47),4.84,4.28
astrocytes 5,499,0.231,86.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,448,0.089,12.0,108,2,1.85,2.97 (NA-NA),106,98.15,3.26 (2.81-3.70),10.47,17.25
GABA neurons expressing GLU receptors 22,459,0.129,35.0,165,11,6.67,2.54 (1.76-3.32),154,93.33,5.33 (5.00-5.67),4.16,4.08
GLU like neurons 17,489,0.21,81.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,265,0.311,89.0,4,2,50.0,2.74 (NA-NA),2,50.0,1.47 (-0.90-3.84),1.49,2.02
GABA neurons expressing GABA receptors 13,238,0.192,66.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,658,0.188,44.0,120,18,15.0,3.23 (2.74-3.73),102,85.0,4.89 (4.55-5.23),4.61,3.48
oligodendrocytes 20,228,0.183,43.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,1300,0.3,88.0,306,37,12.09,2.82 (2.37-3.28),269,87.91,5.53 (5.27-5.78),4.94,6.95
astrocytes 8,260,0.222,89.0,4,4,100.0,1.99 (0.00-3.99),0,0.0,NA,2.09,NA
oligodendrocyte progenitor cells 12,138,0.422,28.0,5,1,20.0,NA,4,80.0,4.33 (4.33-4.33),1.61,2.45
oligodendrocytes 10,2107,0.07,13.0,358,56,15.64,2.22 (1.84-2.61),302,84.36,4.25 (4.07-4.44),18.06,7.88
connective tissue cells 21,69,0.263,31.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1401,0.192,96.0,96,22,22.92,3.79 (3.11-4.47),74,77.08,3.55 (3.00-4.11),3.61,3.85
oligodendrocytes 16,149,0.159,31.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,553,0.208,87.0,124,11,8.87,4.48 (3.45-5.51),113,91.13,4.14 (3.72-4.57),2.81,3.05
astrocytes microglia 23,91,0.333,79.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171,0.124,15.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,1186,0.162,78.0,300,22,7.33,3.80 (3.31-4.30),278,92.67,3.79 (3.57-4.01),3.54,4.20
microglia 1,346,0.185,70.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,854,0.103,65.0,76,6,7.89,2.13 (-1.64-5.89),70,92.11,2.80 (2.47-3.13),2.75,4.89
oligodendrocytes 2,804,0.222,98.0,84,18,21.43,2.41 (1.43-3.39),66,78.57,2.74 (2.38-3.09),2.69,3.59
