tipo_celular,module_size,AGAP3_MM,AGAP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.148,43.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624,0.137,37.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932,0.097,33.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.097,8.0,353,29,8.22,2.32 (1.71-2.93),324,91.78,4.07 (3.89-4.25),25.88,6.47
GABA neurons expressing GLU receptors 22,487,0.224,54.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1247,0.142,57.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.107,32.0,133,10,7.52,0.67 (0.45-0.88),123,92.48,3.48 (3.18-3.78),6.94,3.94
GABA neurons expressing GABA receptors 13,77,0.269,99.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85),1.56,2.18
endothelial cells 9,658,0.098,11.0,120,10,8.33,3.68 (2.85-4.51),110,91.67,4.70 (4.37-5.04),4.03,3.62
oligodendrocytes 20,938,0.108,41.0,169,11,6.51,3.00 (2.16-3.85),158,93.49,3.52 (3.30-3.75),4.58,5.42
GABA like neurons 14,2402,0.106,10.0,455,28,6.15,2.18 (1.55-2.81),427,93.85,4.50 (4.32-4.69),19.36,8.14
astrocytes 8,283,0.088,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.03,3.0,276,20,7.25,2.71 (2.13-3.29),256,92.75,3.62 (3.39-3.85),11.46,4.61
oligodendrocytes 10,806,0.105,29.0,261,5,1.92,NA,256,98.08,4.36 (4.12-4.61),2.02,6.14
connective tissue cells 21,111,0.367,84.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401,0.094,57.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,113,0.15,13.0,10,1,10.0,2.80 (NA-NA),9,90.0,2.95 (2.05-3.86),2.34,1.83
da neurons 6,553,0.127,50.0,124,4,3.23,2.28 (-1.40-5.95),120,96.77,4.23 (3.83-4.62),2.55,3.05
astrocytes microglia 23,80,0.348,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.107,2.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,117,0.089,7.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,480,0.129,16.0,163,2,1.23,1.94 (NA-NA),161,98.77,3.72 (3.45-3.99),3.30,5.19
oligodendrocytes 3,681,0.05,8.0,87,12,13.79,1.60 (0.97-2.23),75,86.21,2.76 (2.47-3.04),5.58,4.03
oligodendrocytes 2,921,0.113,15.0,200,4,2.0,2.75 (1.88-3.63),196,98.0,3.64 (3.37-3.91),4.64,3.44
