tipo_celular,module_size,MICU3_MM,MICU3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.149,40.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.158,83.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,13,3.68,0.95 (0.56-1.33),340,96.32,4.04 (3.86-4.21),36.11,6.99
GABA neurons expressing GLU receptors 22,400.0,0.08,2.0,24,14,58.33,1.32 (0.88-1.75),10,41.67,3.33 (2.88-3.78),4.38,2.46
GLU like neurons 17,1316.0,0.225,97.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,197.0,0.198,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.192,66.0,118,10,8.47,4.06 (3.63-4.49),108,91.53,4.82 (4.43-5.21),2.82,4.10
endothelial cells 9,586.0,0.309,68.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,275.0,0.173,38.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.149,25.0,455,17,3.74,1.61 (1.00-2.21),438,96.26,4.49 (4.31-4.67),33.43,7.88
astrocytes 8,727.0,0.09,38.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,7,2.54,1.63 (1.14-2.13),269,97.46,3.61 (3.39-3.83),7.55,5.05
oligodendrocytes 10,806.0,0.081,18.0,261,17,6.51,2.69 (2.20-3.17),244,93.49,4.52 (4.28-4.77),5.46,6.11
connective tissue cells 21,106.0,0.166,1.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1768.0,0.072,35.0,105,5,4.76,1.02 (0.39-1.66),100,95.24,3.33 (3.00-3.67),5.90,3.88
oligodendrocytes 16,81.0,0.203,65.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,448.0,0.135,77.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,59.0,0.237,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.16,68.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.13,28.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615.0,0.156,92.0,161,10,6.21,0.64 (0.35-0.93),151,93.79,3.49 (3.23-3.74),14.85,4.81
oligodendrocytes 3,854.0,0.132,85.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.147,46.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12),2.95,3.41
