tipo_celular,module_size,NME7_MM,NME7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.194,73.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624,0.162,58.0,142,3,2.11,3.79 (NA-NA),139,97.89,3.20 (2.94-3.47),5.81,4.26
astrocytes 5,1141,0.161,85.0,166,16,9.64,2.37 (1.58-3.17),150,90.36,3.51 (3.25-3.77),5.82,4.41
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,30,8.5,2.11 (1.58-2.64),323,91.5,4.09 (3.91-4.28),22.17,6.75
GABA neurons expressing GLU receptors 22,459,0.146,44.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,795,0.08,16.0,80,10,12.5,5.48 (4.53-6.43),70,87.5,5.72 (5.26-6.18),2.20,3.13
da like neurons 11,142,0.328,79.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,357,0.283,87.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,338,0.079,19.0,191,5,2.62,4.55 (2.94-6.16),186,97.38,3.87 (3.64-4.09),3.18,9.32
oligodendrocytes 20,295,0.126,24.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052,0.039,1.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,520,0.045,10.0,288,13,4.51,3.77 (2.86-4.67),275,95.49,4.20 (3.99-4.40),3.13,4.76
oligodendrocyte progenitor cells 12,218,0.046,15.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,806,0.104,28.0,261,19,7.28,4.70 (4.20-5.20),242,92.72,4.33 (4.07-4.59),4.12,6.22
connective tissue cells 21,92,0.208,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443,0.127,32.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,121,0.201,43.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,409,0.248,87.0,235,4,1.7,4.31 (3.13-5.49),231,98.3,3.97 (3.71-4.22),3.11,4.44
astrocytes microglia 23,131,0.259,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.178,86.0,96,11,11.46,3.60 (2.78-4.42),85,88.54,3.25 (2.89-3.61),3.07,4.48
oligodendrocytes 0,2078,0.112,44.0,238,6,2.52,2.17 (1.16-3.19),232,97.48,3.67 (3.45-3.90),7.78,4.95
microglia 1,1615,0.073,5.0,161,23,14.29,2.00 (1.35-2.66),138,85.71,3.51 (3.24-3.79),10.64,4.56
oligodendrocytes 3,639,0.087,43.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88),2.36,2.06
oligodendrocytes 2,921,0.139,53.0,200,6,3.0,3.54 (2.70-4.39),194,97.0,3.62 (3.35-3.90),2.26,3.50
