tipo_celular,module_size,SRPK2_MM,SRPK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.253,81.0,73,9,12.33,3.69 (3.28-4.10),64,87.67,3.54 (3.14-3.94),2.69,3.29
T cells 18,349,0.103,18.0,68,5,7.35,1.76 (0.44-3.08),63,92.65,4.65 (4.10-5.19),2.66,3.36
astrocytes 5,165,0.097,5.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,448,0.11,27.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,459,0.014,0.0,165,10,6.06,2.35 (1.54-3.16),155,93.94,5.33 (4.99-5.66),4.75,4.05
GLU like neurons 17,1247,0.201,84.0,51,2,3.92,3.78 (NA-NA),49,96.08,3.62 (3.03-4.21),2.45,3.27
da like neurons 11,140,0.292,71.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,65,0.135,32.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,1653,0.179,83.0,297,10,3.37,3.40 (2.76-4.04),287,96.63,3.68 (3.47-3.89),5.24,5.53
oligodendrocytes 20,676,0.417,70.0,110,12,10.91,2.45 (1.58-3.33),98,89.09,5.41 (4.98-5.83),3.28,3.55
GABA like neurons 14,1300,0.162,28.0,306,32,10.46,3.01 (2.53-3.50),274,89.54,5.45 (5.18-5.71),6.56,6.72
astrocytes 8,283,0.234,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,153,0.382,39.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,236,0.278,8.0,82,9,10.98,4.98 (3.96-6.01),73,89.02,5.00 (4.41-5.58),2.95,3.94
connective tissue cells 21,111,0.221,20.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.124,80.0,105,35,33.33,2.34 (1.88-2.80),70,66.67,3.66 (3.25-4.07),5.47,3.23
oligodendrocytes 16,287,0.2,26.0,105,14,13.33,2.71 (1.82-3.61),91,86.67,5.67 (5.28-6.05),2.99,3.54
da neurons 6,518,0.084,19.0,122,22,18.03,2.29 (1.79-2.78),100,81.97,4.48 (4.06-4.91),2.84,3.62
astrocytes microglia 23,70,0.234,24.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,752,0.131,20.0,96,14,14.58,2.81 (2.19-3.43),82,85.42,3.38 (3.01-3.75),2.33,4.66
oligodendrocytes 0,261,0.079,4.0,42,11,26.19,1.78 (1.06-2.50),31,73.81,5.26 (4.81-5.70),1.95,2.39
microglia 1,958,0.104,39.0,290,32,11.03,3.12 (2.57-3.67),258,88.97,3.93 (3.68-4.17),6.43,4.82
oligodendrocytes 3,127,0.219,37.0,45,8,17.78,2.96 (1.95-3.97),37,82.22,4.92 (3.88-5.96),2.19,6.73
oligodendrocytes 2,348,0.056,0.0,114,7,6.14,3.60 (2.86-4.33),107,93.86,5.26 (4.83-5.69),6.01,4.29
