tipo_celular,module_size,SIK3_MM,SIK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.216,63.0,102,19,18.63,2.17 (1.61-2.74),83,81.37,3.82 (3.42-4.22),3.71,2.88
T cells 18,349,0.144,36.0,68,4,5.88,1.11 (0.68-1.54),64,94.12,4.64 (4.11-5.17),2.87,3.34
astrocytes 5,165,0.104,8.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.11,15.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.298,80.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,637,0.347,87.0,91,10,10.99,2.29 (1.20-3.39),81,89.01,4.93 (4.41-5.45),4.25,2.91
da like neurons 11,408,0.306,74.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,288,0.309,86.0,93,5,5.38,1.80 (0.41-3.20),88,94.62,5.40 (4.93-5.87),3.07,4.00
endothelial cells 9,450,0.187,44.0,74,4,5.41,3.91 (2.44-5.37),70,94.59,5.60 (5.03-6.18),3.05,3.67
oligodendrocytes 20,676,0.363,63.0,110,8,7.27,1.89 (1.04-2.73),102,92.73,5.35 (4.93-5.76),4.17,3.47
GABA like neurons 14,1300,0.156,25.0,306,27,8.82,2.95 (2.42-3.49),279,91.18,5.40 (5.14-5.66),5.81,6.79
astrocytes 8,771,0.319,83.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.158,68.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,204,0.277,17.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250,0.304,48.0,117,3,2.56,2.68 (0.83-4.53),114,97.44,5.47 (5.08-5.86),3.33,3.75
astrocytes 15,418,0.233,62.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,65,0.1,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.355,90.0,138,23,16.67,2.76 (2.20-3.32),115,83.33,5.33 (4.96-5.70),2.58,2.76
astrocytes microglia 23,327,0.166,4.0,120,34,28.33,2.56 (2.18-2.94),86,71.67,4.16 (3.82-4.51),3.19,2.64
astrocytes 4,514,0.177,47.0,95,15,15.79,2.68 (2.06-3.31),80,84.21,3.55 (3.05-4.04),2.50,5.04
oligodendrocytes 0,479,0.292,97.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,480,0.241,71.0,163,17,10.43,3.62 (3.15-4.08),146,89.57,3.72 (3.43-4.02),4.40,5.26
oligodendrocytes 3,1003,0.295,100.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348,0.382,92.0,114,2,1.75,4.13 (3.28-4.99),112,98.25,5.14 (4.72-5.56),3.59,4.41
